;activity type;database;location;name;reference product;unit;code;Hazardous (kg);natural resources;Gallium;Coke;Fluorspar;Rare earth;Indium;Copper;Europium;Tantalum;Vanadium;Latex;Scandium;Phosphate rock;Carbondioxide (kg);Titanium;Palladium;Nickel;Tin;Gold;Recycling (kg);Hydrogen;Electricity;Total (kg);Borates;Antimony;Cement;Strontium;Zirconium;Erbium;Uranium;Landfill (m3);Lithium;Petroleum;Tungsten;Platinum;Dysprosium;Incineration (m3);Hazardous (m3);Gadolinium;Selenium;Radioactive (m3);Natural gas;Incineration (kg);Graphite;Bauxite;Composting (kg);Cerium;Coal(black);Lead;Zinc;Digestion (m3);Silver;Openburning (kg);Cadmium;human health;Helium;Rhodium;Landfill (kg);Holmium;Beryllium;Tellurium;Aluminium;Coal(brown);Cobalt;ecosystem quality;Digestion (kg);Vegetable oil;Total (m3);Sand;Silicon;Magnesium;Water;Chromium
f3ee31a9ae0b31caa8f4bdb3c0e410ed;market activity;ecoinvent-3.9.1-cutoff;RoW;market for diethyl ether, without water, in 99.95% solution state;diethyl ether, without water, in 99.95% solution state;kilogram;f3ee31a9ae0b31caa8f4bdb3c0e410ed;0.028932501733572494;1.062523389682252;1.8220212011320526e-12;0.913558195749364;0.00647548953754442;0.00021215527595945313;1.2717512948392864e-08;0.06024676772170398;0.0;6.209818471713488e-06;0.0;4.593614084962331e-06;0.0;0.010818802961281506;0.0;0.003304162742283538;1.4511251454850845e-08;-0.10653111418633236;0.0003782009488370966;5.42637208059212e-07;0.2711416661774474;0.0007958085218023356;15.825972159113169;6.139659233323654;5.501231372148157e-05;-4.881208246692352e-07;0.1681514697893367;1.7425303415576616e-05;3.071142067931728e-14;0.0;5.959432609066848e-05;5.239049025919594e-10;1.7430029211321968e-07;0.3203390192046957;0.0;5.520901067787423e-05;0.0;4.715144416082319e-09;3.7146212248526696e-07;0.0;8.15367960077318e-13;3.7146212248526696e-07;0.698709035759443;0.05986767554216733;1.1507241194200026e-05;0.0354433433387191;3.0459827225847176e-05;1.5280346143192182e-15;2.0319043035152244;0.010182799188409052;0.049748823654828564;0.0;9.555585104976846e-07;0.0049429184969952975;1.8661965810794657e-10;1.938809058111502e-05;4.62942528370315e-06;4.522332207317698e-11;1.8387564952075046;0.0;0.0;1.013122356094804e-11;0.03363235930413402;0.4950739905011905;6.774855199216912e-07;3.294957154629069e-08;2.052202122708394e-05;3.9145343891212556e-05;0.1950140620337925;0.2798955417651076;0.00012724938020813948;0.0005805141790059621;20.187750501215987;4.3462496878133044e-06
4778fac49b5bffdcf80ad5650fe9b050;market activity;ecoinvent-3.9.1-cutoff;GLO;market for packaging glass, green;packaging glass, green;kilogram;4778fac49b5bffdcf80ad5650fe9b050;0.0025738166073749572;0.11542810882392403;3.3207891841430716e-13;0.1935871039311154;0.004199288660864513;7.343055632800796e-05;2.3185703091240527e-09;0.0026255272996547323;0.0;2.9989963611517285e-07;0.0;0.0005443459259037405;0.0;0.003493673970461271;0.0;0.0021739753993517425;7.036054945824431e-10;-0.006525755048525941;5.268238299673076e-05;2.6075634666939195e-08;0.05580278533885455;5.635499557072788e-05;1.5702201732663355;1.8936603866580368;4.425464149173475e-06;-9.511525144807095e-09;0.023293351408155184;3.3921635683124643e-07;5.696051083963931e-15;0.0;7.144744550250706e-06;6.26895383952089e-11;3.681110431277885e-08;0.23560566717653328;0.0;1.7767378449351648e-05;0.0;5.642058805873902e-10;4.2753907716058433e-08;0.0;1.4860777148143158e-13;4.2753907716058433e-08;0.249683888866469;0.0644093040142997;3.301279406769749e-06;0.005366004550841817;8.007664028796826e-05;3.160053625473438e-16;0.15431894593050804;0.0001844616969598478;0.0011354160513106872;0.0;4.679681568695968e-08;0.010844032476977546;2.0486870747695814e-11;2.8019834535706826e-06;2.252055794312847e-07;6.841909207935014e-12;0.5700027258276628;0.0;0.0;1.846501983754543e-12;0.006667485514133016;0.053354166032845554;3.5560142344547353e-07;5.813430195691716e-09;5.112209210370573e-05;2.8972724748136613e-05;0.011661554107082726;0.4866340502686428;1.7392231392502925e-05;6.76591112666847e-05;2.016452536552973;5.479033559740833e-06
c15d7becd2020002d3237cad9dca28f5;market activity;ecoinvent-3.9.1-cutoff;RoW;market for methylene diphenyl diisocyanate;methylene diphenyl diisocyanate;kilogram;c15d7becd2020002d3237cad9dca28f5;0.020324827636650264;0.7979504435288891;3.548904582338485e-13;1.7399028259118696;0.0008537099069094815;5.305693986406821e-05;2.487037979367168e-09;0.03984662950111385;0.0;5.987260582041882e-06;0.0;2.922364249194865e-06;0.0;0.0015799992546704372;0.0;0.0005572337021313481;1.3973707983621737e-08;-0.0938192249072794;0.0003536346825165697;5.234430781747165e-07;0.2561251133646087;0.10481818033595634;14.658295501875891;5.352756498414983;4.788409859890264e-05;-2.189758622009978e-07;0.14289825457789798;7.812069208009565e-06;1.8936416828721003e-14;0.0;4.220178562730423e-05;3.777239936196858e-10;7.750031389702175e-06;0.6607220236182567;0.0;7.527819770795239e-05;0.0;3.3995161536469064e-09;2.602851570887963e-07;0.0;1.5881610422604154e-13;2.602851570887963e-07;1.1396186227491465;0.04395748563907162;1.0713225844523486e-05;0.03168396066402138;2.2434079054763518e-05;8.34100205449947e-16;2.1925782075573617;0.004440467094125747;0.021584551716417148;0.0;9.028364043925425e-07;0.0038218171655206266;1.415817191358073e-10;1.762840396137019e-05;4.466350639667593e-06;1.8871974713594475e-11;1.5567206824677946;0.0;0.0;1.9733439818266013e-12;0.02803412033619858;0.4301493819094375;6.355346206586413e-07;2.930180543530434e-08;1.5111163625023253e-05;2.7557549634134972e-05;0.014596665577218362;0.28910257213465895;0.00011553885498487588;0.0005031145421242856;18.764858635861252;3.128447755875131e-06
338c598bdf20b3ee3c2087f1f7e37edd;market activity;ecoinvent-3.9.1-cutoff;GLO;market for castor bean;castor bean;kilogram;338c598bdf20b3ee3c2087f1f7e37edd;0.008840395998562948;0.2040389293736345;3.4672531114372035e-13;1.0522179830739111;0.0003296994365525353;1.402717579758554e-05;2.7858327840709223e-09;0.008172263042323264;0.0;1.2192342317067695e-06;0.0;4.852508894822142e-06;0.0;0.7150430334118412;0.0;0.00036046820922588506;2.819739652350364e-09;-0.03751515924255713;0.00021988646348263736;1.057011391118217e-07;0.1253961171993534;3.8184715979600524e-05;1.9439511309738797;2.5435232780918335;1.7161840039832773e-05;-7.079732957278858e-08;0.05966020139029306;2.3732377814164198e-06;3.3155102080477043e-13;0.0;5.264066290320026e-06;4.7085672583172567e-11;3.265332951224196e-05;0.43469859846371617;0.0;6.621168097355294e-05;0.0;4.2377107955972353e-10;3.2160163145963974e-08;0.0;1.5516214052766165e-13;3.2160163145963974e-08;0.4845311664378124;0.020091387965712075;9.330431980133597e-06;0.024434967094800756;9.080744750367433e-06;2.0028323120426837e-14;0.56881213643403;0.0014298911143390911;0.005562785263317941;0.0;2.000213746925136e-07;0.0031066648418507183;2.506516558468595e-11;2.50855889131533e-05;8.957878929534346e-07;3.741753889629478e-12;0.8242403654120873;0.0;0.0;1.927942243072565e-12;0.023107171845448533;0.07743564362212602;5.699074813006564e-07;1.8277740066714866e-07;6.096360022777322e-06;1.2129115059004345e-05;0.0028754067804218396;0.13483575816175625;0.00010304043611527165;0.00020501403473266257;3.778147240358058;1.428005547019157e-06
47e73c27032b5ae3ca32f76a90a262bc;market activity;ecoinvent-3.9.1-cutoff;GLO;market for bitumen seal, Alu80;bitumen seal, Alu80;kilogram;47e73c27032b5ae3ca32f76a90a262bc;0.016583848616808713;0.40451669954226965;1.0561061631535277e-13;0.4272813219672758;0.000616595518035015;1.3194946531211179e-05;7.446946603363071e-10;0.007858606681909693;0.0;1.1526959246492226e-06;0.0;8.176862073601973e-07;0.0;0.0007639488143077245;0.0;0.00025660890424616294;2.7013813466245498e-09;-0.020550352492045766;0.00011084422291594429;1.0078646646329946e-07;0.05718413387430226;2.4224003919294082e-05;6.7205916010643785;1.2550635129330456;1.6491848470099465e-05;-7.62452856859715e-09;0.03815496867982825;3.0588384425558023e-07;9.691674034514958e-15;0.0;1.6716901610608276e-05;1.4521847388350053e-10;9.76850944643024e-09;1.4497330459281859;0.0;1.488412966540917e-05;0.0;1.3069663460986524e-09;9.926233584782264e-08;0.0;4.7261531717664114e-14;9.926233584782264e-08;0.20457298266301968;0.04456912996645052;0.00021202132328692426;0.6630586163280945;6.241163909007222e-06;4.956968585425082e-16;0.8862338257396312;8.840884194901765e-05;0.0009316035151229604;0.0;1.7141611979127387e-07;0.0015432525064261922;2.888786906041381e-11;5.997040249769186e-06;8.602016997143549e-07;1.3769404372645108e-11;0.32415505674262185;0.0;0.0;5.872405675826155e-13;0.6006864089177532;0.17332154155095;1.72821596541154e-07;9.796875456696905e-09;4.20485684129041e-06;9.339727216952785e-06;0.0019908106044236418;0.1229147393356865;0.002120584890545973;0.00012866464366080587;6.629764281983268;1.0015672294879317e-06
6f4a7c6dcf21fff64aa1589a8212659b;market activity;ecoinvent-3.9.1-cutoff;GLO;market for indium rich leaching residues, from zinc production;indium rich leaching residues, from zinc production;kilogram;6f4a7c6dcf21fff64aa1589a8212659b;0.0005245827073786251;0.0010147048791279486;8.20049257578945e-16;0.0022260112561845575;2.0957848250271332e-06;5.522888295871255e-08;5.820551229269696e-12;0.00025848102522401056;0.0;9.34531029972446e-10;0.0;2.2304869037304103e-08;0.0;6.249777570928934e-06;0.0;1.7298169003645755e-06;2.5377515945996454e-12;-0.00011376353865078783;2.517042823867273e-06;8.087698072572249e-11;0.00038783206696592815;3.80573858596773e-06;0.06742149945579957;0.009504400290157467;6.186305961208597e-07;-1.5715219465574484e-07;0.00029377544370555166;5.088532385427796e-06;1.234694693484698e-16;0.0;3.72978319663645e-07;3.455385429437478e-12;1.2357942336348587e-10;0.0010130822333588498;0.0;1.8761885429315345e-07;0.0;3.1098470795784413e-11;2.396991537129674e-09;0.0;3.669781064565603e-16;2.396991537129674e-09;0.002508396494045474;0.0020171447074776687;2.8220423388472705e-08;8.568284716538516e-05;1.12953743079284e-07;5.906172440257175e-18;0.0031604568984953843;0.00012437638227150334;0.009680187469711932;0.0;5.880982746482473e-09;9.565752366613584e-06;2.2000455332083927e-12;1.3275193677711184e-07;1.9288877825456525e-09;2.465925867088368e-13;0.002563468562618517;0.0;0.0;4.559827489581236e-15;8.07462328177391e-05;0.002782729407865;1.36296129011051e-09;8.371650418519943e-11;7.626860009958591e-08;8.307272870197138e-08;6.80116787111841e-05;0.000648183638559224;2.876785619363354e-07;1.1333514935833149e-06;0.15889808419894338;9.207732158622631e-08
d3c6cf164accab27da5e7696595dd1ae;market activity;ecoinvent-3.9.1-cutoff;GLO;market for butter, from cow milk;butter, from cow milk;kilogram;d3c6cf164accab27da5e7696595dd1ae;0.011472652143726711;0.2902294116492594;4.2002425873777895e-11;1.6854645485661364;0.000827843361948765;2.5672098995591764e-05;2.92743201795764e-07;0.024801604435801046;0.0;2.1219954518225104e-06;0.0;6.461339078522382e-06;0.0;0.27466035278623824;0.0;0.0006889090403646779;4.583027897018226e-09;-0.06211444456113708;0.0003999739888380778;1.6214909070990306e-07;0.9163109073442544;0.00013041164122362916;9.98300405807393;13.171294649711076;0.0010590730491262517;-6.379778341096622e-08;0.2712702178192514;2.2505697681889126e-06;2.035297994477104e-13;0.0;3.0547451445018376e-05;2.7078361787283104e-10;2.4104859650558615e-05;0.669399354186288;0.0;9.048020684882571e-05;0.0;2.4370527121676204e-09;1.8404168217929537e-07;0.0;6.479248005119115e-07;1.8404168217929537e-07;0.5039806585074602;0.0951878326123726;1.4834320306882265e-05;0.03479490628297489;0.009448689854442712;1.20603439770827e-14;0.9852927810429292;0.002173018663356734;0.0074166456677602;0.0;4.3837405943308274e-07;0.02092804756229778;1.2484690038627155e-09;1.721199199326657e-05;1.3989697656503366e-06;2.0756597709355175e-11;3.69695998092893;0.0;0.0;2.335515999292431e-10;0.03450341683554592;0.27517861763496654;1.1426168025583014e-05;3.424599043532905e-07;0.006383402204791317;0.00014883341380050533;0.0666506695481395;0.5338177828709147;0.0002443545812527902;0.00359060923625453;99.0908512840839;1.8815949255791947e-05
11192763bb46848d8960aa1fba914d6b;market activity;ecoinvent-3.9.1-cutoff;GLO;market for polyaluminium chloride;polyaluminium chloride;kilogram;11192763bb46848d8960aa1fba914d6b;0.00290456668767835;0.13241784361805287;2.471100172701175e-13;0.3202543622172645;0.0002509075740049559;1.0441384334177675e-05;1.7335198001340963e-09;0.009923396936750876;0.0;1.9634573679433228e-06;0.0;1.1621003279823734e-06;0.0;0.000482946520891578;0.0;0.00016701488403925215;4.605933364708422e-09;-0.02952728342056789;0.00011480447769472017;1.7222964452787467e-07;0.08294383075605366;0.012486659705154484;4.991069037704849;1.8991017640137509;1.554364636285746e-05;-2.7827478568836915e-08;0.046151561106077446;9.998903930095354e-07;1.2870963324101051e-14;0.0;1.81613367166767e-05;1.5947182244252588e-10;2.3659077180594472e-06;0.14508116890912245;0.0;1.9156290486206518e-05;0.0;1.43524649109456e-09;1.1097163119277854e-07;0.0;1.1058355993389181e-13;1.1097163119277854e-07;0.289416934153004;0.01050059678027293;3.720397813444951e-06;2.8754279686993987;8.49671852573445e-06;6.777486577547189e-16;0.8083123382223011;0.0005106100632977958;0.0031194339626179576;0.0;2.9406230388263196e-07;0.0009741852052032138;4.356440904433377e-11;8.179410486056557e-06;1.4656608762759495e-06;1.2925777224741991e-11;0.5871675520342701;0.0;0.0;1.3740382535383275e-12;1.563385891681236;0.15314730482101976;1.9152860830675192e-07;8.774955643373053e-09;5.724121178821911e-06;1.0673775191716891e-05;0.007555212906467672;0.08826123205197256;3.835989422963105e-05;0.00016728790088232313;5.738173589818757;1.186444543435184e-06
02b09b70496df18e9d6274438fc679f7;market activity;ecoinvent-3.9.1-cutoff;GLO;market for rye grain;rye grain;kilogram;02b09b70496df18e9d6274438fc679f7;0.002733143484764593;0.06222507828686475;4.436875851561016e-12;0.26950927358406473;0.00026499160058739;7.204475330120108e-06;3.0977144746465e-08;0.0030478078211770617;0.0;4.965870287661865e-07;0.0;2.44456943764852e-06;0.0;0.13101064477196642;0.0;0.00016670763113422386;1.1417265432429072e-09;-0.012014189267887361;6.829658059530073e-05;4.2719232986635936e-08;0.03264927297695275;2.6064953826670492e-05;0.8504679666665325;1.3220052663823925;1.1884521624316357e-05;-6.934321106395621e-09;0.02010183561399456;2.4993813828736593e-07;6.923083309432341e-14;0.0;4.400784468270717e-06;3.770370961510269e-11;3.021711168733113e-05;0.13248066762177185;0.0;1.75812540114148e-05;0.0;3.393334076045142e-10;2.5835892896890133e-08;0.0;1.985534751163089e-12;2.5835892896890133e-08;0.1338070300528575;0.008469659457837595;2.0048322551406944e-06;0.004131043373743836;5.721603132925908e-06;4.16493073173859e-15;0.09684705554955175;0.0003986893282541368;0.0008651551616734097;0.0;8.914983345284761e-08;0.0011926741384659404;1.2955947753400453e-10;2.3396502891878213e-06;3.6130494560851575e-07;3.852665534133691e-12;0.5223507494719408;0.0;0.0;2.46709429815677e-11;0.003997999479207059;0.02785861365995859;1.8547783248056537e-07;2.6589484638806573e-08;3.811799342965777e-06;3.799589530269945e-06;0.0015072262362191395;0.04322909810224524;2.9482552617224326e-05;7.940991977714602e-05;1.124156422214389;1.646345530300177e-06
f7ecb3955ab532ffee12128d2de6412a;market activity;ecoinvent-3.9.1-cutoff;GLO;market for o-chlorobenzaldehyde;o-chlorobenzaldehyde;kilogram;f7ecb3955ab532ffee12128d2de6412a;0.019354651839897943;0.8724275997405788;2.4636877646614063e-12;1.2351149042634253;0.0009509223518634995;2.569908102003087e-05;1.7204270956244435e-08;0.04082359664783061;0.0;9.134074422401021e-06;0.0;3.0027532367311386e-06;0.0;0.0015440782387107243;0.0;0.0006412332736356603;2.140984684467196e-08;-0.12978001618845425;0.0004596301091627951;7.988127629209002e-07;0.3657564933720351;0.0013756807397375815;28.069179288323532;7.89131878703423;7.512456093124272e-05;-5.556844974481221e-08;0.22390467336173353;2.0361982437714655e-06;4.904361220182364e-14;0.0;0.00012349486030648662;1.0746277385122974e-09;1.4635415209074437e-05;0.5165933319740423;0.0;8.743239767968615e-05;0.0;9.671650247105734e-09;7.549292071585795e-07;0.0;1.1025184919315484e-12;7.549292071585795e-07;1.18833763050432;0.05749354675407496;1.5768775601170063e-05;0.04706624819697053;2.4146229975035745e-05;2.4975910683876762e-15;2.5622054708431867;0.0006069814559072174;0.006727297902012488;0.0;1.3591759542655828e-06;0.004380595803226619;2.732772024730646e-10;1.8835119474433166e-05;6.817508019796853e-06;1.111572902735165e-10;2.238789865868597;0.0;0.0;1.3699166350341518e-11;0.04146369663004282;0.9381122151313088;7.982868815650039e-07;3.462895573943268e-08;1.624080856167242e-05;5.405586393431506e-05;0.056423099924693305;0.35939395509746563;0.00016848157171348775;0.0006769334084979811;27.637320529549015;6.467138386077932e-06
