code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0508e36d1fb6fc06f291fb30ce63078f;ferrochromium production, high-carbon, 68% Cr;RoW;ferrochromium, high-carbon, 68% Cr;;market for coke;16.8583333333333;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
05a872f7d7e38ddcc3371f3a049ea07c;sulfate pulp production, from eucalyptus, bleached;RoW;electricity, high voltage;;market for coke;0.0018360524728829191;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
06194b23a1bc9ae29b0a9db086672c63;aluminium production, primary, liquid, prebake;RoW;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
0ef2ffc41d6d83540304082916d5971d;calcium carbide production, technical grade;RER;calcium carbide, technical grade;;market for coke;17.9;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
1046162a2c99c9666a9894b9c03e3d81;strontium carbonate production;GLO;sodium sulfide;;market for coke;5.786620878265433;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
12067c9f3a7240d6b21a93843c121e74;steel production, converter, low-alloyed;World;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
13b99e7de808fd95e21ae2133cd3d7b1;beet sugar production;RoW;sugar beet pulp;;market for coke;0.0034290109773261993;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
143def0684554f8fbbed699fd45b8779;steel production, converter, low-alloyed;CHA;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
147a001376644185a269bfa38df761f2;steel production, converter, low-alloyed;CAZ;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
17e115e3e01a4ec8820b62f4aedfbbb1;steel production, electric, low-alloyed;SSA;steel, low-alloyed;;market for coke;0.003363229704962088;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
1a6f67b77e1e479588bfc0899dfa37d1;pig iron production;EUR;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
1a8bb2f0cea9523f383e2f6865b39529;beet sugar production;RoW;molasses, from sugar beet;;market for coke;0.001314883908598768;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
1b53453a5890967ff2becb7a73a6035d;aluminium production, primary, liquid, prebake;IAI Area, EU27 & EFTA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
1b9ad2c01d6c544829c15baca61de0f6;cathode production, for aluminium electrolysis;RoW;cathode, for aluminium electrolysis;;market for coke;12.9;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
1e73fdcab0d74073b57a1c211ebaf426;steel production, converter, unalloyed;LAM;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
1ee6446bbd38a0cfe97bd049598bf259;steel production, electric, low-alloyed;RoW;heat, district or industrial, other than natural gas;;market for coke;7.617571553973961e-05;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
20c70b2817da40e0bcd9ed1ced6517b5;pig iron production;JPN;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
21f71e4c878e4b5fb9052b33a45461f1;steel production, converter, unalloyed;IND;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
251977e7a4914d06923bce80bec99fe2;pig iron production;OAS;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
26d497165be44cfe9411876a2276579f;pig iron production;NEU;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
273cd0ca081d4829b653891e3b5a6ae6;steel production, converter, low-alloyed;JPN;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
2e9402d83daca1b3ee80182ca9269aa8;aluminium production, primary, liquid, prebake;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
2fa85e4ae02f4fcfbbf8d36e1e45f4bf;steel production, electric, low-alloyed;MEA;steel, low-alloyed;;market for coke;0.003363229704962088;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
32c6a74329734ba4887c95f604cf0f2b;steel production, converter, unalloyed;World;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
32da1eca7f074ab7890fd3527e8c3711;steel production, converter, low-alloyed;EUR;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
386de730916142469dfdc8359d256a8b;pig iron production;CAZ;pig iron;;market for coke;9.724;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
39052b1150b04161a2791a48735b09eb;steel production, converter, low-alloyed;SSA;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
3ec55452e1cb429aa0a7d415ff554c83;steel production, electric, low-alloyed;IND;steel, low-alloyed;;market for coke;0.0123;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
41806b914bc14181821b1d3fec5e01c0;steel production, electric, low-alloyed;OAS;steel, low-alloyed;;market for coke;0.003363229704962088;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
45ee54fe4ce347d68f7bf26bdb5dced0;steel production, electric, low-alloyed;USA;steel, low-alloyed;;market for coke;0.003363229704962088;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
46ced43ccca845d5a65faddb1e87be96;steel production, converter, unalloyed;MEA;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;;technosphere;GLO;SSP1-PkBudg500-2020;coke
485659fac8b770b925867dcd45e584cc;ferrosilicon production;CN;ferrosilicon;;market for coke;28.0;megajoule;coke;0.0;technosphere;GLO;SSP1-PkBudg500-2020;coke
