code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.6383038113540227;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.45694447447724484;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.11144987182371824;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;2.212786546027279;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.18389228850913514;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.07774938608170015;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.4245226935830722;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;1.1266568860724973;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
0003ed3a5d804f85957d17056ecdc76c;hydrogen production, gaseous, 100 bar, from methane pyrolysis;MEA;hydrogen, gaseous, 100 bar;;market for natural gas, high pressure;0.43769404207132984;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
00291e66d6d54a0b954263f557126eac;heat production, natural gas, at industrial furnace >100kW;MEA;heat, district or industrial, natural gas;;market for natural gas, high pressure;0.027215475;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP1-PkBudg500-2020;natural gas
002ac17a76f04fbface830e5fa295af5;heat production, natural gas, at boiler fan burner non-modulating <100kW;MEA;heat, central or small-scale, natural gas;;market for natural gas, low pressure;0.027405983000000002;cubic meter;natural gas, low pressure;;technosphere;TR;SSP1-PkBudg500-2020;natural gas
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for natural gas, high pressure;0.251146422233384;cubic meter;natural gas, high pressure;;technosphere;IND;SSP1-PkBudg500-2020;natural gas
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for natural gas, high pressure;0.00860308564102565;cubic meter;natural gas, high pressure;;technosphere;EUR;SSP1-PkBudg500-2020;natural gas
005ce2630a8f495d878b5388c9bf6815;transport, freight, lorry, compressed gas, 32t gross weight, EURO-III, long haul;RER;transport, freight, lorry, EURO-III;;market for natural gas, low pressure, vehicle grade;0.01984292024073857;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;SSP1-PkBudg500-2020;natural gas
