CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;ed17d0b39d594510818230e1fc6ed397;SSP1-PkBudg500-2040;CAZ;hydrogen;market for hydrogen, gaseous;hydrogen, gaseous;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;b613a0b81feac8d2681dbae87afaf18f;SSP1-PkBudg500-2040;US;cement;market for cement, type I-PM;cement, type I-PM;kilogram
"34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";metals/extraction;2011:Manufacture of basic chemicals;680c75ffbba966f1344cc492eb3bd8ca;SSP1-PkBudg500-2040;GLO;aluminium;market for aluminium fluoride;aluminium fluoride;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7e947abf895e46368842e726aa406179;SSP1-PkBudg500-2040;REF;cement;market for cement, CP III;cement, CP III;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;c7707a4b22e3c256430f0d9254212482;SSP1-PkBudg500-2040;CH;cement;market for cement, CEM II/B;cement, CEM II/B;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;04ac2f6466164ad39190680eada73d83;SSP1-PkBudg500-2040;CAZ;hydrogen;market for hydrogen, gaseous, 40-year period;hydrogen, gaseous;kilogram
69120: Gas distribution through mains (on own account);;"3520:Manufacture of gas; distribution of gaseous fuels through mains";d314b1e29068be2ad3e1618ab5d43077;SSP1-PkBudg500-2040;FR;natural gas;market for natural gas, low pressure;natural gas, low pressure;cubic meter
39363: Waste and scrap of aluminium;metals/chipping;"2592:Treatment and coating of metals; machining";79bd3d97d2026a82ab122212b6f0151c;SSP1-PkBudg500-2040;GLO;aluminium;market for aluminium removed by turning, primarily roughing, conventional;aluminium removed by turning, primarily roughing, conventional;kilogram
14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);chemicals/inorganics;0729:Mining of other non-ferrous metal ores;6cb80e4a9eecd6fb5ccab5e2016e155f;SSP1-PkBudg500-2040;GLO;magnesium;market for magnesium sulfate;magnesium sulfate;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;169f4c81377b49c2bb582f34919d7d8a;SSP1-PkBudg500-2040;REF;cement;market for cement, unspecified;cement, unspecified;kilogram
