code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0508e36d1fb6fc06f291fb30ce63078f;ferrochromium production, high-carbon, 68% Cr;RoW;ferrochromium, high-carbon, 68% Cr;;market for bauxite;0.25;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
097fab95e704435a88ade4041cb34d64;clinker production;EUR;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
0f3c8ff499b99096d5e318cf2a339bbf;aluminium hydroxide production;CN;aluminium hydroxide;;market for bauxite;1.861;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
213af105f85047a08ae52f88a0a08567;clinker production;MEA;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
41ef97a384db4e9db296db7d80822a3c;clinker production;LAM;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
42c69a7fb8f25ffca24b31d8ee965fb1;aluminium hydroxide production;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium hydroxide;;market for bauxite;1.861;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
43d1475e63334b82a4db1dbaff4b3600;clinker production;OAS;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
44f50914fd6f9bd97e6c31419f6e1a58;refractory production, high aluminium oxide, packed;RoW;refractory, high aluminium oxide, packed;;market for bauxite;1.04;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
50e12f4269bd138d3c1af86c677137e8;stone wool production;RoW;stone wool;;market for bauxite;0.062271;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
570132c4ee7fc51da6dc8bd3f88fedfc;aluminium hydroxide production;IAI Area, EU27 & EFTA;aluminium hydroxide;;market for bauxite;1.409;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
642564289d5b27b8b8b0339e1ab3da64;aluminium hydroxide production;UN-OCEANIA;aluminium hydroxide;;market for bauxite;2.213;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
6c415ade9bd38b20c51c87d9ffcde438;lime production, hydraulic;RoW;lime, hydraulic;;market for bauxite;0.00012;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
75d9d6447399d7be7da3ce50db2ff387;aluminium hydroxide production;IAI Area, Asia, without China and GCC;aluminium hydroxide;;market for bauxite;1.861;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
7f41fec8d148404a9dda48879f5fc64d;clinker production;REF;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
7fb361ae84344847aecd2355080e4847;clinker production;World;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
80182b08d415cbf669364d207f654e51;aluminium hydroxide production;RNA;aluminium hydroxide;;market for bauxite;1.46;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
83237c344c83adaa165667c3a0b7126f;stone wool production;CH;stone wool;;market for bauxite;0.062271;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
88e793c13db9485a818e20318f99e7d5;clinker production;CHA;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
89f09fc0eebba6d4c8ea397e96fcade9;refractory production, high aluminium oxide, packed;DE;refractory, high aluminium oxide, packed;;market for bauxite;1.04;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
9742f0788e1c4f25b772fb15bba0c11d;clinker production;NEU;clinker;;market for bauxite;0.00012;kilogram;bauxite;;technosphere;GLO;SSP5-Base-2030;bauxite
c00f0b595aaa58928fac8b6eade9a064;ferrochromium production, high-carbon, 68% Cr;KZ;ferrochromium, high-carbon, 68% Cr;;market for bauxite;0.25;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
c28daa5303a7750a9b9ccfd3a8e8a208;lime production, hydraulic;CH;lime, hydraulic;;market for bauxite;0.00012;kilogram;bauxite;0.0;technosphere;GLO;SSP5-Base-2030;bauxite
