code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001f2954140945a180d6dd4d7203d66d;transport, passenger car, compressed gas, Large, EURO-6;IND;transport, passenger car, EURO-6;;market for natural gas, medium pressure, vehicle grade;0.0499782225934245;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for natural gas, high pressure;0.251146422233384;cubic meter;natural gas, high pressure;;technosphere;IND;SSP5-Base-2040;natural gas
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for natural gas, high pressure;0.00860308564102565;cubic meter;natural gas, high pressure;;technosphere;EUR;SSP5-Base-2040;natural gas
005ce2630a8f495d878b5388c9bf6815;transport, freight, lorry, compressed gas, 32t gross weight, EURO-III, long haul;RER;transport, freight, lorry, EURO-III;;market for natural gas, low pressure, vehicle grade;0.01984292024073857;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
00633104a01345a59cc54f93e44f58f6;transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI;LAM;transport, passenger bus, EURO-VI;;market for natural gas, medium pressure, vehicle grade;0.02953187194764949;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
00f578817b4b59bd5647ca886e0d07bf;electricity production, natural gas, combined cycle power plant;IR;electricity, high voltage;;market for natural gas, high pressure;0.15686214347158225;cubic meter;natural gas, high pressure;;technosphere;MEA;SSP5-Base-2040;natural gas
013934db216c4ff4928e306f30fc6384;transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul;NEU;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01840690761873907;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
014ee707332749b18cd0c7f8e6073251;hydrogen production, steam methane reforming, with CCS;CAZ;hydrogen, gaseous, low pressure;;market for natural gas, high pressure;4.530497156555231;cubic meter;natural gas, high pressure;;technosphere;CAZ;SSP5-Base-2040;natural gas
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for natural gas, high pressure;0.0003092292769601746;cubic meter;natural gas, high pressure;;technosphere;IND;SSP5-Base-2040;natural gas
01c275a63cbe48dea901fa0124985c5e;transport, freight, lorry, compressed gas, 7.5t gross weight, EURO-VI, long haul;REF;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.04186020854766247;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
021a6da75cb5f629bcefa53737358321;electricity production, natural gas, conventional power plant;NL;electricity, high voltage;;market for natural gas, high pressure;0.256410256410256;cubic meter;natural gas, high pressure;;technosphere;EUR;SSP5-Base-2040;natural gas
022261d838b544a3a06083de373bab4b;transport, passenger car, compressed gas, Medium SUV, EURO-6;JPN;transport, passenger car, EURO-6;;market for natural gas, medium pressure, vehicle grade;0.04459980339756961;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;SSP5-Base-2040;natural gas
0223de0c540e1ed5f97b454f187e6b63;electricity production, natural gas, combined cycle power plant;CL;electricity, high voltage;;market for natural gas, high pressure;0.18179235719426826;cubic meter;natural gas, high pressure;;technosphere;LAM;SSP5-Base-2040;natural gas
02339d3c69554d86bc75757cfc2afc93;heat production, natural gas, at boiler modulating <100kW;NEU;heat, central or small-scale, natural gas;;market for natural gas, low pressure;0.026888889000000003;cubic meter;natural gas, low pressure;;technosphere;CH;SSP5-Base-2040;natural gas
02634f28d54d99936a0d8c48b68eaddc;transport, pipeline, long distance, natural gas;NL;transport, pipeline, long distance, natural gas;;market for natural gas, high pressure;0.000231707317073171;cubic meter;natural gas, high pressure;;technosphere;EUR;SSP5-Base-2040;natural gas
02ad847fcc0445c0bc7571574325654e;electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m;LAM;electricity, high voltage;;market for natural gas, high pressure;0.1818181818181818;cubic meter;natural gas, high pressure;;technosphere;LAM;SSP5-Base-2040;natural gas
02b895822934b6df162156b3ee57d9ab;heat and power co-generation, natural gas, 500kW electrical, lean burn;CH;electricity, high voltage;;market for natural gas, low pressure;0.21072330625041735;cubic meter;natural gas, low pressure;0.0;technosphere;CH;SSP5-Base-2040;natural gas
032f6f3c0c29448aa8a4110eaeff22a9;syngas production, from natural gas;EUR;syngas, from natural gas;;market for natural gas, low pressure;0.07574290184186194;cubic meter;natural gas, low pressure;;technosphere;BE;SSP5-Base-2040;natural gas
032f6f3c0c29448aa8a4110eaeff22a9;syngas production, from natural gas;EUR;syngas, from natural gas;;market for natural gas, low pressure;0.3861146777800663;cubic meter;natural gas, low pressure;;technosphere;DE;SSP5-Base-2040;natural gas
032f6f3c0c29448aa8a4110eaeff22a9;syngas production, from natural gas;EUR;syngas, from natural gas;;market for natural gas, low pressure;0.1571447561201848;cubic meter;natural gas, low pressure;;technosphere;ES;SSP5-Base-2040;natural gas
