('08/26/2025, 20:28:02', 'SSP1-PkBudg500-2020', 'MaterialFootprint_aluminium', 'additions', 2123, 'duration:', '0:01:02.128117')
('08/26/2025, 20:28:02', 'SSP1-PkBudg500-2020', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:01:02.787264')
('08/26/2025, 20:28:03', 'SSP1-PkBudg500-2020', 'MaterialFootprint_bauxite', 'additions', 29, 'duration:', '0:01:03.486276')
('08/26/2025, 20:28:03', 'SSP1-PkBudg500-2020', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:01:03.516592')
('08/26/2025, 20:28:03', 'SSP1-PkBudg500-2020', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:01:03.878677')
('08/26/2025, 20:28:04', 'SSP1-PkBudg500-2020', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:01:04.564221')
('08/26/2025, 20:28:37', 'SSP1-PkBudg500-2020', 'MaterialFootprint_cement', 'additions', 1168, 'duration:', '0:01:37.311023')
('08/26/2025, 20:28:37', 'SSP1-PkBudg500-2020', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:37.385194')
('08/26/2025, 20:28:50', 'SSP1-PkBudg500-2020', 'MaterialFootprint_chromium', 'additions', 474, 'duration:', '0:01:50.648477')
('08/26/2025, 20:29:32', 'SSP1-PkBudg500-2020', 'MaterialFootprint_coal(black)', 'additions', 1756, 'duration:', '0:02:33.023496')
('08/26/2025, 20:29:45', 'SSP1-PkBudg500-2020', 'MaterialFootprint_coal(brown)', 'additions', 542, 'duration:', '0:02:46.050724')
('08/26/2025, 20:29:50', 'SSP1-PkBudg500-2020', 'MaterialFootprint_cobalt', 'additions', 168, 'duration:', '0:02:50.284409')
('08/26/2025, 20:29:52', 'SSP1-PkBudg500-2020', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:02:52.682896')
('08/26/2025, 20:30:20', 'SSP1-PkBudg500-2020', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:03:20.841500')
('08/26/2025, 20:30:20', 'SSP1-PkBudg500-2020', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:03:20.866251')
('08/26/2025, 20:30:20', 'SSP1-PkBudg500-2020', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:03:20.889824')
('08/26/2025, 20:30:20', 'SSP1-PkBudg500-2020', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:03:20.912912')
('08/26/2025, 20:30:21', 'SSP1-PkBudg500-2020', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:03:21.519526')
('08/26/2025, 20:30:21', 'SSP1-PkBudg500-2020', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:03:21.544398')
('08/26/2025, 20:30:21', 'SSP1-PkBudg500-2020', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:03:21.635744')
('08/26/2025, 20:30:21', 'SSP1-PkBudg500-2020', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:03:21.883295')
('08/26/2025, 20:30:22', 'SSP1-PkBudg500-2020', 'MaterialFootprint_graphite', 'additions', 31, 'duration:', '0:03:22.554762')
('08/26/2025, 20:30:23', 'SSP1-PkBudg500-2020', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:03:23.619683')
('08/26/2025, 20:30:23', 'SSP1-PkBudg500-2020', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:03:23.646860')
