name;reference product;database;unit;production amount;location;code;activity type;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market for rare earth oxide concentrate, 70% REO;rare earth oxide concentrate, 70% REO;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;337dfb767bd83ad05cd3a91d812cd04b;market activity;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market for samarium-europium-gadolinium oxide;samarium-europium-gadolinium oxide;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;c31a19ca95b1cad5376a5536bd9bfa9d;market activity;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market for phosphate rock, beneficiated;phosphate rock, beneficiated;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;5fc5f4ad7af6554959c68329538a1d27;market activity;8910;Mining of chemical and fertilizer minerals;34629;Other phosphatic fertilizers, n.e.c.;Chemical;Chemical products
market for polyvinylfluoride, film;polyvinylfluoride, film;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;f7626f7b7d0f5c52de4029c40a54bbcd;market activity;22200;Manufacture of plastics products;36330;Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminat[…];PlastRub;Plastics & rubber products
market for heavy fuel oil;heavy fuel oil;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;b2891a096d2f1aec6defd2d7a6d8adcb;market activity;19200;Manufacture of refined petroleum products;33370;Fuel oils n.e.c.;OreMinFuel;Ores, minerals & fuels
market for stockpiling of anode slime from electrorefining of copper, anode;stockpiling of anode slime from electrorefining of copper, anode;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;607239a9102d67d7108e464c65998c95;market activity;24200;Manufacture of basic precious and other non-ferrous metals;40000;Metal products, machinery and equipment;MetalAlloy;Basic metals & alloys, their semi-finished products
market for petrol, unleaded;petrol, unleaded;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;6f5d59dbe4e4d5d7ad8b4bf19963cf56;market activity;19200;Manufacture of refined petroleum products;33300;"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";OreMinFuel;Ores, minerals & fuels
market for cottonseed oil, refined;cottonseed oil, refined;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;21852c4e242046354e887a60ad34d612;market activity;10400;Manufacture of vegetable and animal oils and fats;21682;Cottonseed oil, refined;ProcBio;Food & beverages, animal feed
market for powertrain, for electric passenger car;powertrain, for electric passenger car;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;e56e73e2509e29d118cff4d782cc563a;market activity;27100;Manufacture of electric motors, generators, transformers and electricity di;46960;"Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus";MachElecTrans;Metal/electronic equipments & parts
market for phthalimide-compound;phthalimide-compound;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;eac906448096288e0bcdb340079248fe;market activity;20210;Manufacture of pesticides and other agrochemical products;34662;Fungicides;Chemical;Chemical products
market for calcium borates;calcium borates;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;4a61290db042f90ac7e28c9428ccd272;market activity;8910;Mining of chemical and fertilizer minerals;34600;Fertilizers and pesticides;Chemical;Chemical products
