activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;ecoinvent-3.9.1-cutoff;market for diethyl ether, without water, in 99.95% solution state;1.0;f3ee31a9ae0b31caa8f4bdb3c0e410ed;kilogram;diethyl ether, without water, in 99.95% solution state;RoW;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for packaging glass, green;1.0;4778fac49b5bffdcf80ad5650fe9b050;kilogram;packaging glass, green;GLO;23100;Manufacture of glass and glass products;37191;Bottles, jars, phials and other containers, of glass, of a kind used for the conveyance or packing of goods, e[…];GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for methylene diphenyl diisocyanate;1.0;c15d7becd2020002d3237cad9dca28f5;kilogram;methylene diphenyl diisocyanate;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34700;Plastics in primary forms;PlastRub;Plastics & rubber products
market activity;ecoinvent-3.9.1-cutoff;market for castor bean;1.0;338c598bdf20b3ee3c2087f1f7e37edd;kilogram;castor bean;GLO;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1449;Other oilseeds, n.e.c.;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for bitumen seal, Alu80;1.0;47e73c27032b5ae3ca32f76a90a262bc;kilogram;bitumen seal, Alu80;GLO;23990;Manufacture of other non-metallic mineral products n.e.c.;37940;Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…];GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for indium rich leaching residues, from zinc production;1.0;6f4a7c6dcf21fff64aa1589a8212659b;kilogram;indium rich leaching residues, from zinc production;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for butter, from cow milk;1.0;d3c6cf164accab27da5e7696595dd1ae;kilogram;butter, from cow milk;GLO;10500;Manufacture of dairy products;22241;Butter and other fats and oils derived from milk of cattle;ProcBio;Food & beverages, animal feed
market activity;ecoinvent-3.9.1-cutoff;market for polyaluminium chloride;1.0;11192763bb46848d8960aa1fba914d6b;kilogram;polyaluminium chloride;GLO;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for rye grain;1.0;02b09b70496df18e9d6274438fc679f7;kilogram;rye grain;GLO;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1162;Rye, other;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for o-chlorobenzaldehyde;1.0;f7ecb3955ab532ffee12128d2de6412a;kilogram;o-chlorobenzaldehyde;GLO;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for dipropylene glycol monomethyl ether;1.0;7592b4a2772014f8073ad0482d43d879;kilogram;dipropylene glycol monomethyl ether;RoW;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for battery, Li-ion, LiMn2O4, rechargeable, prismatic;1.0;9b766978b5b04e886ae15900efb7e69c;kilogram;battery, Li-ion, LiMn2O4, rechargeable, prismatic;GLO;27200;Manufacture of batteries and accumulators;46420;Electric accumulators;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for isophthalic acid based unsaturated polyester resin;1.0;f7246260eab45ab3c87506e982b1e3e8;kilogram;isophthalic acid based unsaturated polyester resin;GLO;20130;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market activity;ecoinvent-3.9.1-cutoff;market for lime, hydrated, loose weight;1.0;16df20c480f88cb7a2f27a335a2c5f04;kilogram;lime, hydrated, loose weight;RoW;23940;Manufacture of cement, lime and plaster;37420;Quicklime, slaked lime and hydraulic lime;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for flax husks;1.0;854e5671eb549292a80f1e1f268634b4;kilogram;flax husks;GLO;13110;Preparation and spinning of textile fibres;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for sodium nitrate, unrefined;1.0;1a9da562ab955a6e84c8b72cd1e93fb3;kilogram;sodium nitrate, unrefined;GLO;20120;Manufacture of fertilizers and nitrogen compounds;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for ferrochromium, high-carbon, 68% Cr;1.0;8829ffe4656e9ade9e4f8cf1e6230f69;kilogram;ferrochromium, high-carbon, 68% Cr;GLO;24100;Manufacture of basic iron and steel;41112;Ferro-manganese;MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for glider, passenger car;1.0;e01f270d8d7c3b9db3939fc0cc27b05b;kilogram;glider, passenger car;GLO;29100;Manufacture of motor vehicles;46960;"Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus";MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for natural stone plate, polished;1.0;2e8ee9518e8f4e83687d9e1cd8568b05;kilogram;natural stone plate, polished;GLO;23960;Cutting, shaping and finishing of stone;37690;"Other worked monumental or building stone and articles thereof; other artificially coloured granules, chipping[…]";GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for neutralising agent, sodium hydroxide-equivalent;1.0;49e7e29fe8d585e2827bf8eb8b4ac221;kilogram;neutralising agent, sodium hydroxide-equivalent;GLO;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
