activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for latex;;a23ff5a5512f239248b86d5706a7c4e4;kilogram;latex;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34790;"Other plastics in primary forms; ion exchangers";PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for C3 hydrocarbon mixture;;14f38952361f9a77c5d86fed4c3a0b52;kilogram;C3 hydrocarbon mixture;GLO;19200;Manufacture of refined petroleum products;33420;Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas;OreMinFuel;Ores, minerals & fuels
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for battery, Li-sulfur, Li-S;1.0;5cd726c7c3394f6c9737d75bd555addd;kilogram;battery, Li-S;GLO;-1;missing;-1;missing;;
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for magnesium, for reuse in titanium sponge production;;0359b9f53c1748fac3950af176ff31bf;kilogram;magnesium, for reuse in titanium sponge production;RoW;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for millet;;e6b790ff49c932d4eedf89beb4ed1556;kilogram;millet;GLO;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1180;Millet;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for copper, anode;;6d673652ae29f74dc59fb0fc229bf6db;kilogram;copper, anode;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41412;"Unrefined copper; copper anodes for electrolytic refining";MetalAlloy;Basic metals & alloys, their semi-finished products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for mandarin, processing grade;;071c1d06be86bcac5ce6df770846da52;kilogram;mandarin, processing grade;GLO;1230;Growing of citrus fruits;1324;Tangerines, mandarins, clementines;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for pendimethalin;;cb83827bac85512b36c595a45f6ec799;kilogram;pendimethalin;GLO;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for argon, crude, liquid;;2dd3813517a48db8298b10acb4ad4114;kilogram;argon, crude, liquid;GLO;20110;Manufacture of basic chemicals;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for methylene diphenyl diisocyanate;;c15d7becd2020002d3237cad9dca28f5;kilogram;methylene diphenyl diisocyanate;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34700;Plastics in primary forms;PlastRub;Plastics & rubber products
