;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
1bc863a377c63072694d33d69f9fd94f;GLO;SSP5-Base-2020;1bc863a377c63072694d33d69f9fd94f;market for tin concentrate;tin concentrate;kilogram;1.934900568879609;0.5507927926384009;0.006682695645576686;1.673197457729966e-07;3.2948220428634745e-08;9.228481825394707e-05;1.1547667433898385;;;
b8b0f0ca4e8e1a99ddae3f6ae610be2e;GLO;SSP5-Base-2020;b8b0f0ca4e8e1a99ddae3f6ae610be2e;market for sunn hemp plant, harvested;sunn hemp plant, harvested;kilogram;1.3975135586085405;9.53449785408102e-05;0.0002080034629127114;9.90080841265243e-10;7.186149410652016e-09;4.5771935251467715e-07;0.00805758388423024;;;
fdc3aa0957da0e3ac1ddc7ecd32be77b;RoW;SSP5-Base-2020;fdc3aa0957da0e3ac1ddc7ecd32be77b;market for ammonium sulfate;ammonium sulfate;kilogram;1.10717580722687;0.006861653437233236;0.008705412821516363;3.939005376067923e-08;9.070575518878726e-09;7.958882416680574e-06;0.09499186148391536;;;
ca82b9c0317b2e80e548f66a998c2b99;GLO;SSP5-Base-2020;ca82b9c0317b2e80e548f66a998c2b99;market for cobwork;cobwork;kilogram;0.225409552784755;0.00012589673835707125;0.00023559468262478314;1.107811167493181e-09;8.578321218186189e-10;2.2710581248527833e-07;0.012502350954270902;;;
90aa1cf7ab6b25320d33a20c3150da18;GLO;SSP5-Base-2020;90aa1cf7ab6b25320d33a20c3150da18;market for platinum;platinum;kilogram;27039.425796357707;88.6441206811692;68.18001491805322;0.000827056965659366;0.0010254874978386824;0.988641027356134;6271.076009598022;;;
bfe0be72ba99530828042b5ccd7d26a9;RoW;SSP5-Base-2020;bfe0be72ba99530828042b5ccd7d26a9;market for alkyd paint, white, without water, in 60% solution state;alkyd paint, white, without water, in 60% solution state;kilogram;5.337529674814701;0.06236898671133151;0.015484384757934292;7.60152422550192e-08;4.190880245010282e-08;1.5091558337601252e-05;0.5831890877955853;;;
6a75c2e5815af212589613fca0468c2b;RoW;SSP5-Base-2020;6a75c2e5815af212589613fca0468c2b;market for sawlog and veneer log, meranti, measured as solid wood under bark;sawlog and veneer log, meranti, measured as solid wood under bark;cubic meter;2.6784662410325377;0.019788677888178362;0.24624788047310836;8.918843723424094e-08;9.030764699194346e-05;0.00348054794606068;4.519078585438082;;;
04583a14a8acc2843e9b6e5a90bf3ba0;GLO;SSP5-Base-2020;04583a14a8acc2843e9b6e5a90bf3ba0;market for liquid packaging board container;liquid packaging board container;kilogram;0.5537356091366957;0.01364038480926956;0.003569385427783928;1.7532933753283497e-08;2.123324662171901e-08;5.229772947466621e-06;0.2513428762218595;;;
db4e48bc6cff689756194e97ab4c84bc;GLO;SSP5-Base-2020;db4e48bc6cff689756194e97ab4c84bc;market for aluminium removed by turning, average, computer numerical controlled;aluminium removed by turning, average, computer numerical controlled;kilogram;9.360720626180463;0.1781396651321988;0.4507314046333214;3.2065346989754156e-07;5.518220781117941e-08;3.439454588791843e-05;0.5937367419987434;;;
8431a1b046d7fbb9e477334b512f76ee;GLO;SSP5-Base-2020;8431a1b046d7fbb9e477334b512f76ee;market for sodium persulfate;sodium persulfate;kilogram;1.2649832721820489;0.004663037707434667;0.0018525449303277931;5.920565714224164e-08;8.818235872084614e-09;5.737363073564042e-06;0.1286485528681287;;;
4856268a9526e6e3922ae86844815bf7;GLO;SSP5-Base-2020;4856268a9526e6e3922ae86844815bf7;market for skidder;skidder;unit;40771.924844785404;484.0142106996964;86.70580042733854;0.0021547790886466776;0.0003261541608485649;0.32464596976725635;6032.695536160266;;;
604c4b123f2751402882a46ebd4bf6aa;GLO;SSP5-Base-2020;604c4b123f2751402882a46ebd4bf6aa;market for maize grain, Swiss integrated production;maize grain, Swiss integrated production;kilogram;0.20610356237331473;0.00016894755217907446;0.0005510300907778356;2.6881052562352563e-09;1.4224380603805174e-08;1.1882204790254175e-06;0.01928177132977628;;;
46521ef24001d33fd5fd7382e293b6cf;GLO;SSP5-Base-2020;46521ef24001d33fd5fd7382e293b6cf;market for textile, woven cotton;textile, woven cotton;kilogram;4.999947496198661;0.01422685504992273;0.0680133994944464;3.1469328292733296e-07;1.298046806714989e-07;4.270370219958976e-05;0.5404611101164516;;;
b5cd957c48b0459347485bb2961acd35;GLO;SSP5-Base-2020;b5cd957c48b0459347485bb2961acd35;market for boric acid, anhydrous, powder;boric acid, anhydrous, powder;kilogram;0.9377540078085917;0.008203449586235076;0.0033406140578147643;3.2006110457212924e-08;1.0104166844353834e-08;6.319716690820626e-06;0.15443882596124442;;;
ab76df4845d8b838daf0933e3bca8885;RoW;SSP5-Base-2020;ab76df4845d8b838daf0933e3bca8885;market for trichloroacetic acid;trichloroacetic acid;kilogram;2.1290748719077994;0.017622699320804833;0.0033831693310681313;1.4659944383933688e-07;1.5830506433792994e-08;7.84723963579304e-06;0.34148868414883027;;;
a8545fdf18ae8f75037b9a345930690e;RoW;SSP5-Base-2020;a8545fdf18ae8f75037b9a345930690e;market for hydrogen fluoride;hydrogen fluoride;kilogram;1.682259723023603;0.004013284785737998;0.007828724477218153;3.665551045558858e-08;1.3503050317515187e-08;1.0367194890280305e-05;5.5948116756407735;;;
af6a972c95e838aff24e2ffb3add846a;RoW;SSP5-Base-2020;af6a972c95e838aff24e2ffb3add846a;market for potash salt;potash salt;kilogram;0.09732783223987511;5.8983014253162873e-05;0.0001345586396059164;3.9553577690922794e-10;2.2164336579047672e-10;1.044414647585638e-07;0.004769035595124337;;;
5a167ccac14e2f430d93a51ef0a2613b;RoW;SSP5-Base-2020;5a167ccac14e2f430d93a51ef0a2613b;market for cottonseed, organic;cottonseed, organic;kilogram;0.12285323797427837;5.674435186373819e-05;0.00012777659546507397;3.4429641022799907e-10;2.2311275885402625e-08;4.390995250400201e-07;0.005174284478990462;;;
