;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;emptied;parameters full;log parameters
0409a01e5c245a0dc2ae585a86d38efc;GLO;SSP5-Base-2030;0409a01e5c245a0dc2ae585a86d38efc;market for iron pellet;iron pellet;kilogram;0.03501017821620819;0.00010528620833346038;0.001898833382566533;2.0072101571474995e-09;5.215739752290764e-10;4.530460709579571e-07;0.018036200908782114;;;
fe042390867fff721d6c9b720f0c1894;GLO;SSP5-Base-2030;fe042390867fff721d6c9b720f0c1894;market for power supply unit, for desktop computer;power supply unit, for desktop computer;unit;19.987056907043762;0.2868013651308373;0.525370045298796;9.70069688608887e-07;1.8064999231010426e-07;0.00015527504933080414;2.590552822861696;;;
80921e923f62c4d857b7372a56b87254;GLO;SSP5-Base-2030;80921e923f62c4d857b7372a56b87254;market for fish oil, from anchovy;fish oil, from anchovy;kilogram;1.1613170250052185;0.002796439371272918;0.003337128484727566;6.055268147690908e-09;8.195647118334143e-09;4.238599596205853e-06;0.1529827808420502;;;
42129d6cdaa9c40096ba6af664717355;GLO;SSP5-Base-2030;42129d6cdaa9c40096ba6af664717355;market for catalytic converter, selective catalytic reduction, 200 litre;catalytic converter, selective catalytic reduction, 200 litre;unit;927.2770888991471;5.006438082976928;1.22694512369662;8.792898106898881e-05;8.979882219760973e-06;0.011060510918228602;131.66994247581715;;;
430946426bae97a879911b51001ce6e3;RoW;SSP5-Base-2030;430946426bae97a879911b51001ce6e3;market for adiponitrile;adiponitrile;kilogram;0.756829488592426;0.0011868669527668834;0.014173794531244389;1.8063224715922272e-08;1.581993237991671e-08;6.9640402415419625e-06;0.7595751106245173;;;
56bcfbadb1e9ddbb4ec76584efdc9653;GLO;SSP5-Base-2030;56bcfbadb1e9ddbb4ec76584efdc9653;market for transistor, wired, big size, through-hole mounting;transistor, wired, big size, through-hole mounting;kilogram;52.00307197732762;0.7032036708947867;0.13510753558487593;6.033631148118704e-06;1.0225922654671568e-06;0.000797486253346873;9.373171626866268;;;
3e4e816ffd97f26dd194e527315df1a3;GLO;SSP5-Base-2030;3e4e816ffd97f26dd194e527315df1a3;market for furnace, pellets, with silo, 300kW;furnace, pellets, with silo, 300kW;unit;175243.85667499134;76.15478939183392;25.4413910338637;0.00015199307436759466;7.48148122646123e-05;0.057451323608599815;1373.3761367452316;;;
e16c8d7f2c6b473ae8bebc5d652f307f;GLO;SSP5-Base-2030;e16c8d7f2c6b473ae8bebc5d652f307f;market for polydimethylsiloxane;polydimethylsiloxane;kilogram;4.916653794710669;0.007732575799393346;0.014012099394202377;2.516969513162083e-07;7.199067014516622e-08;3.4426626037060515e-05;1.0491635417836673;;;
2034499bc66ccc742f6c23b64ec26855;GLO;SSP5-Base-2030;2034499bc66ccc742f6c23b64ec26855;market for cottonseed, for sowing;cottonseed, for sowing;kilogram;0.3434083204344025;0.0003740645169344766;0.0011222017039265743;5.856063178368769e-09;1.260509144103632e-08;3.4995503471150833e-06;0.03774333656741535;;;
6246c9bfb7903ce0751ae0716f80a5a1;GLO;SSP5-Base-2030;6246c9bfb7903ce0751ae0716f80a5a1;market for anaerobic digestion plant, agricultural;anaerobic digestion plant, agricultural;unit;1095045.7177551368;145.14604128831309;80.2534837014215;0.00039241883699856893;0.00030297197217612175;0.17888181522751362;4164.661403535181;;;
1f1656838394188bd8dcdf7559af6fc7;GLO;SSP5-Base-2030;1f1656838394188bd8dcdf7559af6fc7;market for sugar beet pulp;sugar beet pulp;kilogram;0.08132201787931456;0.007243724173250931;0.00021732324942238073;1.8631778800594993e-09;2.9010515893932406e-09;5.842748624385557e-07;0.009880487664177876;;;
fbed425482ee773fb5e2910f71d8141e;GLO;SSP5-Base-2030;fbed425482ee773fb5e2910f71d8141e;market for dimethyl sulfide;dimethyl sulfide;kilogram;0.8468909182941018;0.0012846397775444207;0.0032920066809312984;2.641955696689954e-08;9.404327143655014e-09;5.311546094814875e-06;0.38589737607261765;;;
076f157d3912ee401ae16c508fd857a7;GLO;SSP5-Base-2030;076f157d3912ee401ae16c508fd857a7;market for cottonseed oil, crude;cottonseed oil, crude;kilogram;4.677531573070512;0.001407208262085548;0.003352093038261528;1.4999978758121687e-08;4.191619540275496e-08;1.1686611909891502e-05;0.11306080144750366;;;
25f94e2b602c829a79818ec5a88159d1;GLO;SSP5-Base-2030;25f94e2b602c829a79818ec5a88159d1;market for passenger car, electric, without battery;passenger car, electric, without battery;kilogram;4.958041538368148;0.03546411367793825;0.04470074934140919;3.1579852955335124e-07;3.6443166729354135e-08;3.0448752255629642e-05;1.4865957763512965;;;
bc7a7bbf74c818ce0aa239c5d5e063b2;GLO;SSP5-Base-2030;bc7a7bbf74c818ce0aa239c5d5e063b2;market for chlorpropham;chlorpropham;kilogram;2.995203776383511;0.012782462564392461;0.010811735516202826;1.3779957039138947e-07;2.658092916721878e-08;1.3401422774323074e-05;0.8311513212262875;;;
e4feda3ee7d71eeccd2950c6abebae97;GLO;SSP5-Base-2030;e4feda3ee7d71eeccd2950c6abebae97;market for wind power plant, 800kW, fixed parts;wind power plant, 800kW, fixed parts;unit;1561309.721880436;1867.6343346763344;378.01907570898265;0.002601292906231477;0.0013473473419921538;1.2589879721723298;27379.96550801059;;;
97c658b5f9714d98b4806d327bcce2c9;GLO;SSP5-Base-2030;97c658b5f9714d98b4806d327bcce2c9;market for printed paper;printed paper;kilogram;0.9547127052745709;0.0022358722261651407;0.004908796597216174;7.715636294269538e-08;1.8702031079742875e-08;5.711571630769669e-06;0.2234901466638448;;;
ffb4e9d0edd50cdac16f2b57d863b563;GLO;SSP5-Base-2030;ffb4e9d0edd50cdac16f2b57d863b563;market for furnace, logs, average storage area, 30kW;furnace, logs, average storage area, 30kW;unit;4310.3928546252755;11.130878960216466;4.7501428845220115;2.7362234921962956e-05;1.0887816170773431e-05;0.009270722980406558;171.7024911576333;;;
