location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;log parameters;emptied;activity type
GLO;SSP1-PkBudg500-2020;2d61fad5617b6a30bdf52dfaeb219a43;market for hydraulic fracturing fluid;hydraulic fracturing fluid;cubic meter;0.0402971672799408;2.463192173255076e-07;1.0801331012424937e-07;4.604000643568512e-05;2.308862060459883;;;;
RoW;SSP1-PkBudg500-2020;428c569a472d36034de8770c3fc98358;market for white lined chipboard carton;white lined chipboard carton;kilogram;0.0015791976584808;2.6595156333278842e-08;6.580677554580801e-09;2.759205488018924e-06;0.1259447156133708;;;;
GLO;SSP1-PkBudg500-2020;d96eca0d773b6b762e86cdf671ef762c;market for iron-nickel-chromium alloy;iron-nickel-chromium alloy;kilogram;0.0171485601840802;5.950785897204379e-07;1.4866960019986854e-07;0.0001361339691116;0.9807234028989184;;;;
GLO;SSP1-PkBudg500-2020;2c48398c3ba5c2c6c9d487001970410e;market for stone wool factory;stone wool factory;unit;516030.907734725;1.6253624564605813;0.7931580830985755;650.7818908641375;7167258.279033488;;;;
RoW;SSP1-PkBudg500-2020;2f630420c9f3bcd25d7b8b32bc2c8b42;market for chlorodifluoromethane;chlorodifluoromethane;kilogram;0.0157029052023842;1.2963226509275118e-07;2.169758156135725e-07;8.157994007247201e-05;3.449818034598325;;;;
GLO;SSP1-PkBudg500-2020;346503ada1b3a9692c801742198d53a8;market for flux, for wave soldering;flux, for wave soldering;kilogram;0.0300046647842046;3.74276761268127e-08;1.1770624027443804e-08;5.727172103914764e-06;0.5693977815174509;;;;
GLO;SSP1-PkBudg500-2020;2f890c11604dc1b16ea8cd5e455bf8c8;market for battery, NaCl;battery, NaCl;kilogram;0.1206673564347161;5.121797920978343e-07;1.1212758489262736e-07;9.394193297559792e-05;0.8775683485284674;;;;
GLO;SSP1-PkBudg500-2020;df051e2658302b5b757df5de533845a2;market for blower and heat exchange unit, Avent E 97;blower and heat exchange unit, Avent E 97;unit;1.2744480327456915;9.80007465630588e-06;1.875426716978584e-06;0.001317255118326;21.98312287419881;;;;
GLO;SSP1-PkBudg500-2020;6f9e8e79e0025011427a5d3b01e0c80a;market for krypton, gaseous;krypton, gaseous;kilogram;0.0410068501174617;9.25098270037586e-06;5.453864115727133e-07;0.0002477052841381;4.908117518060336;;;;
GLO;SSP1-PkBudg500-2020;f8229498ca1b36c8079d2364e35667cb;market for nitrate salts, for solar power application;nitrate salts, for solar power application;kilogram;0.1538868039948432;4.078219960370289e-09;3.6862733002354e-09;1.2805579476450275e-06;0.0777196638296724;;;;
GLO;SSP1-PkBudg500-2020;92b3b3bc9c64e3e9f81b561a84b2b1e8;market for refrigeration machine, carbon dioxide, liquid as refrigerant;refrigeration machine, carbon dioxide, liquid as refrigerant;unit;39.91589796704388;0.0001010057467686;2.1481078683517936e-05;0.0183735149225803;251.68206789105724;;;;
GLO;SSP1-PkBudg500-2020;236ac1cd370007b9673c903d8ffbaded;market for ferrosilicon;ferrosilicon;kilogram;0.0037510803910961;3.248404694710629e-07;3.3966659938135254e-08;3.740297561240923e-05;0.3737257905755337;;;;
GLO;SSP1-PkBudg500-2020;598226fa34cbfbadfddff71d16244801;market for dimethenamide;dimethenamide;kilogram;0.0227628757437389;6.478314740057768e-07;1.280712663884028e-07;8.689689224627566e-05;1.8000002094225254;;;;
GLO;SSP1-PkBudg500-2020;606717c7e4c3ec112c0b03cbce1a5610;market for fibre, kenaf;fibre, kenaf;kilogram;0.0013355232698589;1.1433177300175097e-08;3.652705815343144e-08;5.393650160539826e-06;0.0565392313704002;;;;
GLO;SSP1-PkBudg500-2020;b9e23828f3d0c74c551c7edc66e71379;market for potato, organic;potato, organic;kilogram;0.0006851544634097;2.3976984928314853e-09;6.4128383773686725e-09;8.643505665547582e-07;0.0222954946880477;;;;
GLO;SSP1-PkBudg500-2020;cf81717206b5a737b7a8a0a93a1b87e8;market for sodium chloride, brine solution;sodium chloride, brine solution;kilogram;0.000160356826779;6.6173601454953825e-09;6.982331130766807e-10;4.842122252272468e-07;0.0072255456794605;;;;
GLO;SSP1-PkBudg500-2020;1ce941ebffd0f8a255bfdf419e79d230;market for aluminium removed by milling, large parts;aluminium removed by milling, large parts;kilogram;0.4502865549511143;2.412963687142281e-07;5.003701741596109e-08;3.2088437641101014e-05;0.5500560979332769;;;;
GLO;SSP1-PkBudg500-2020;2a50dedb7279fa6099f6e8db81749868;market for grass seed, Swiss integrated production, at farm;grass seed, Swiss integrated production, at farm;kilogram;0.0026279313981961;2.3661717102352933e-08;5.5876065335769764e-08;4.266907043902996e-06;0.135462721920097;;;;
GLO;SSP1-PkBudg500-2020;c27991023e8548170fcb6a28224e31a6;market for boric oxide;boric oxide;kilogram;0.0067048133402705;7.824609926049986e-08;2.066292151466881e-08;1.2843556036394947e-05;0.3198611204952691;;;;
GLO;SSP1-PkBudg500-2020;5994c6fa51edf6fb6bb405614dee10fa;market for paclobutrazol;paclobutrazol;kilogram;0.0175078988163108;5.840725067796379e-07;7.21992321820694e-08;3.6676251111134666e-05;1.565933682609657;;;;
GLO;SSP1-PkBudg500-2020;01b59183a0dadb469528a825385e8af7;market for uranium, enriched 3.8%, in fuel element for light water reactor;uranium, enriched 3.8%, in fuel element for light water reactor;kilogram;2.127478661619344;0.0675048918318748;1.1249847246435683e-05;0.0187676703220389;229.4338369677908;;;;
GLO;SSP1-PkBudg500-2020;e4c1035464dcd484321273848ce82d54;market for fish block, hake;fish block, hake;kilogram;0.0164344847522987;5.778628524160388e-09;3.2459649810702915e-08;1.6638462506511004e-05;0.446678733174386;;;;
GLO;SSP1-PkBudg500-2020;80921e923f62c4d857b7372a56b87254;market for fish oil, from anchovy;fish oil, from anchovy;kilogram;0.0033370952782816;8.838366375224143e-09;8.275698256172792e-09;4.330464276701835e-06;0.1537410725169632;;;;
GLO;SSP1-PkBudg500-2020;ce46010872bb7cb6e31db24f472013d9;market for high voltage system, for Li-ion battery;high voltage system, for Li-ion battery;kilogram;0.1232413078169596;4.926578138372901e-07;1.8648424664737533e-07;0.0001684847817584;1.6941714856186365;;;;
RoW;SSP1-PkBudg500-2020;9127bd8139126b367eac7b51774c6663;market for bamboo culm;bamboo culm;kilogram;4.270653139385452e-05;2.9519543802745644e-10;1.5041688480313422e-09;6.358278112376314e-08;0.0026305795095426;;;;
