<<<<<<< HEAD
;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full;emptied
b58e366aa745755d69e7aeb815267fbe;GLO;SSP1-PkBudg500-2030;b58e366aa745755d69e7aeb815267fbe;market for indium rich leaching residues, from zinc production stockpiling;indium rich leaching residues, from zinc production stockpiling;kilogram;0.0016799244158846567;1.074902082328628e-05;7.279006444604361e-05;1.870891751952411e-10;2.9639120068938056e-12;1.4035258188665225e-16;5.138586192188996e-12;2.095171282629622e-12;4.3687591763533375e-13;1.5137208709024752e-12;1.6534909874698396e-12;2.597713467894888e-16;2.9939939427821368e-12;1.7867830580826602e-12;5.948176347926187e-17;1.3294765743175774e-12;1.7028356502417515e-09;4.143438425207804e-09;2.4536302692070115e-08;2.7846215485973274e-12;3.032193005572795e-13;2.8358215275774442e-09;1.2353493426542098e-11;2.186250272579326e-10;0.00017737910117978276;7.804075132990707e-05;1.858298280059754e-11;3.345246107201636e-08;0.0002554198538391664;;
9bcbf9ff7b53d399fde53f1ee822cec5;RoW;SSP1-PkBudg500-2030;9bcbf9ff7b53d399fde53f1ee822cec5;market for glued laminated timber, average glue mix;glued laminated timber, average glue mix;cubic meter;242.91528524973603;0.39428679743316364;0.7898970708475196;5.279498590252418e-06;1.1219908989446874e-07;2.3764642063124655e-11;8.699522049338036e-07;4.449086771657522e-09;1.0998305358138669e-09;4.596261737345362e-08;1.7522580615384335e-08;1.244683525585703e-11;1.3748020015583701e-05;1.1009761649728395e-07;1.0661650153918752e-12;2.3829848501627288e-08;0.0002883034760084028;5.662135504525057e-05;3.700542068276278e-05;8.264576373617178e-08;4.5044084519225674e-08;0.00023476656044158108;7.454806420145964e-07;3.918686029420917e-06;14.322554584880674;0.7595121513070175;1.4909334535348234e-05;0.0006214867601161619;15.082066760017536;;
257250402e340a213b2785ad88262aaf;RoW;SSP1-PkBudg500-2030;257250402e340a213b2785ad88262aaf;market for triethylene glycol;triethylene glycol;kilogram;0.7757385629699034;0.0009593226148095383;0.006180946681738335;4.375364320155434e-08;8.491315774853651e-10;1.2547565518527765e-13;4.595436918635723e-09;5.6146812391010346e-11;1.1259977865095704e-11;1.0943625130797303e-10;1.6688143812141831e-10;3.35467625039728e-14;2.0649318982874158e-10;4.2305150407837996e-10;1.1758196874976138e-14;2.628073948571658e-10;1.52245617010651e-06;3.079309634929695e-07;3.079320544277563e-07;6.997988155721854e-10;7.513474325401862e-11;8.550182147411812e-07;2.7435666542707257e-09;4.321721418350416e-08;0.4206505793329841;0.004527983163074885;6.418006521025949e-09;3.040072522228058e-06;0.42517856275886634;;
53dc8ecd9f80d1af96be8304d8264bda;GLO;SSP1-PkBudg500-2030;53dc8ecd9f80d1af96be8304d8264bda;market for polyvinylchloride, suspension polymerised;polyvinylchloride, suspension polymerised;kilogram;1.4545139008398043;0.2036487923814201;0.03746726637947915;6.092124383602234e-08;9.573718323439886e-10;1.3315364252553967e-13;4.876210403238967e-09;8.291190828932688e-11;1.6830361639162695e-11;2.0775997644629703e-10;2.0917243630026356e-10;1.580721194766397e-13;3.0390661773726674e-10;4.2972333675510294e-10;1.497111386608923e-14;3.3461928517546507e-10;1.6155774916901352e-06;4.4402449077188255e-07;4.527851268483139e-07;9.314419469470658e-10;8.019996395543811e-10;9.912921079393648e-07;2.809829560234894e-09;5.502628008324791e-08;0.3747552253943909;0.021563624193192837;7.084188931028144e-09;3.563247445076066e-06;0.396318849922203;;
da0aef15e575e0900e7eee0297941ba9;GLO;SSP1-PkBudg500-2030;da0aef15e575e0900e7eee0297941ba9;market for lead concentrate;lead concentrate;kilogram;0.3685052577112402;0.049526091436762246;0.008389525224506408;1.829388766496761e-08;6.827556039352684e-10;3.205220023922627e-14;1.1736946817839673e-09;1.1778233944545001e-09;2.4538975089872475e-10;9.610106311325706e-10;9.086091428025244e-10;1.4113493991664893e-13;7.267900359333062e-10;3.4624745837275135e-10;9.349283541042843e-15;2.0896578593879296e-10;3.888986119533953e-07;1.9526744097311196e-06;1.5388535724490677e-05;2.6683699174562904e-10;1.2398215162716007e-10;9.27493933580474e-07;2.379828051405305e-09;3.436326109792057e-08;0.0417530989184005;0.09303327494501348;6.222501656726924e-09;1.869473607012104e-05;0.13478637407237976;;
b3551cc5425c448550d943ccc0fc71a1;GLO;SSP1-PkBudg500-2030;b3551cc5425c448550d943ccc0fc71a1;market for coconut oil, crude;coconut oil, crude;kilogram;2.6480523404519416;0.002790430384872679;0.003573762212182637;2.564619565253672e-08;4.033917655887151e-09;2.0435092574841303e-13;7.479903862570518e-09;2.430501289285915e-10;2.7456278214193597e-11;2.5203484817478074e-10;4.035087402894684e-10;1.631711749998957e-11;4.881814009520457e-08;8.771981104185824e-10;4.215398128295781e-13;9.421834080197227e-09;2.4796810239711436e-06;6.678160512968373e-07;1.0607926650995664e-06;3.9920406362786147e-10;7.49768683142932e-09;3.232547293588676e-06;5.659443939319291e-09;1.5493682042951078e-06;0.08167225739374229;0.009538094388727233;6.207216294381052e-08;8.977251431417479e-06;0.0912103612043036;;
1a3af6c63f889db2d2f02ec5f023cc83;GLO;SSP1-PkBudg500-2030;1a3af6c63f889db2d2f02ec5f023cc83;market for glass, for liquid crystal display;glass, for liquid crystal display;kilogram;1.569391103492787;0.0038866523804387556;0.006084831664441645;1.767527866903501e-07;5.3250470068752645e-09;2.3120996946365084e-13;8.46495034962004e-09;9.629566064114586e-10;1.8799021887655867e-10;1.5277783098822442e-09;1.4253054610927012e-09;2.0276793517167179e-13;9.569718622490502e-10;9.287783923764476e-10;1.568867766651473e-14;3.506575498038599e-10;2.8050676579118415e-06;8.948207706672577e-07;4.782445661083921e-06;2.1834206538874822e-09;3.871134332843106e-10;5.107806457989585e-06;6.363369515342311e-09;5.766368348642752e-08;0.16376420020737392;0.8230912916994229;1.97800867902569e-08;1.365669148073524e-05;0.9868554922574544;;
558bc5c9afd08196ce17569e1e79371b;GLO;SSP1-PkBudg500-2030;558bc5c9afd08196ce17569e1e79371b;market for alkylbenzene, linear;alkylbenzene, linear;kilogram;0.7641666993685534;0.0007877373252641264;0.003468877206735594;1.45996861999052e-08;1.5680669482837026e-09;1.5266519875300973e-13;5.590205743272856e-09;5.2635379855714925e-11;1.070505328802888e-11;1.2059943904009421e-10;2.2877855487339074e-10;4.9728665605121e-14;2.4914790928187137e-10;6.482828983233203e-10;1.30047540431659e-14;2.906691873918432e-10;1.8522458858696857e-06;3.092788912180955e-07;3.3220100135559926e-07;2.2813571913248336e-10;9.315034765383332e-11;1.730117268822351e-06;4.287970294222185e-09;4.7798930980940294e-08;0.6133619145240135;0.002930377150611533;8.468590867584471e-09;4.276235892261379e-06;0.6162922919652943;;
08ccf0139a52221078ce51def27ca896;GLO;SSP1-PkBudg500-2030;08ccf0139a52221078ce51def27ca896;market for non-ferrous metal smelter;non-ferrous metal smelter;unit;8240410435.841911;6690186.081175232;4890017.48881867;24.81904763235927;1.2834893518996586;5.5428043389594054e-05;2.0293445359721427;0.2541237859684181;0.0503219472843734;0.40928509458941575;0.36022794142785725;9.98065432577957e-05;4.265025430814096;0.2963548093746085;4.755115657177767e-06;0.10628156437548548;672.4747474867481;2174.2138118907646;1282.6516257078204;0.3842548281875156;0.0990682267474074;1316.4716727288644;1.981442740888868;17.477412056344967;43481963.93689511;26955140.819408134;8.948320564930729;5465.749973725458;70437104.86258481;;
4867a68f77e5ec055eeee33d836e3c7f;GLO;SSP1-PkBudg500-2030;4867a68f77e5ec055eeee33d836e3c7f;market for sodium nitrate, technical grade;sodium nitrate, technical grade;kilogram;34.156846903911365;0.0011117746830330028;0.0012467391458332094;3.809831418905737e-09;4.825654623206235e-10;7.970063476787785e-14;2.91800554636826e-09;6.6400928878430965e-12;1.6699543222483532e-12;6.723709565833027e-11;4.766383199723381e-11;1.669886242081211e-14;1.701538084708401e-10;3.2068745483214023e-10;1.5265824805859552e-15;3.4120636779880324e-11;9.669382635842895e-07;9.924169892180867e-08;5.8940699148123e-08;5.7980131401388657e-11;1.054159917861543e-10;5.471714550009329e-07;2.154921703224352e-09;5.6109489179140975e-09;0.10993773607311091;0.08653566979847768;4.014697643432266e-09;1.680213614432149e-06;0.19647340590570922;;
