;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full;emptied
3a4bb4b0b56fa5cc9d1b6cd6cc0791f8;GLO;SSP1-PkBudg500-2050;3a4bb4b0b56fa5cc9d1b6cd6cc0791f8;market for water storage;water storage;unit;9816114.226835862;2233.819131798953;867.9199680638743;0.005653817403868994;0.00015150435499955713;1.658486050763106e-08;0.0006071979714054347;1.717847680030189e-05;3.8696422273224554e-06;9.266435189306362e-05;4.15636272195479e-05;1.6839597406198353e-08;0.0013924714863688932;0.000103229383691749;1.4425892603865346e-09;3.2243304768774775e-05;0.20120880563622306;0.5224713444633428;0.09151528766175815;8.667575587484831e-05;2.1453627578449995e-05;0.2538727468910416;0.0006906009909895123;0.005302232111594427;12115.191515889986;11415.719822357527;0.0024097131154203234;1.0751688052880564;23530.911370490816;;
688c7dd02c07b5293090d38ddc098b29;GLO;SSP1-PkBudg500-2050;688c7dd02c07b5293090d38ddc098b29;market for titania slag, 85% titanium dioxide;titania slag, 85% titanium dioxide;kilogram;0.374036867269569;0.0005479878172734345;0.0006182540021252088;3.5838839333497342e-09;1.7876575701570435e-10;2.35343391558468e-14;8.614351072950007e-10;1.6938055358494077e-11;3.5559038739631845e-12;6.588269261835239e-11;8.991880579523035e-11;1.8489198528880183e-14;4.070680195551306e-10;1.2960497042192672e-10;3.528890282152846e-15;7.887420764004178e-11;2.8549568756022577e-07;9.56763481044538e-08;8.947138791658061e-08;5.583794684256135e-11;2.4916834645009073e-11;2.629343315697476e-07;8.981959894063589e-10;1.2970424698233798e-08;0.00927813054544099;0.07819436316205798;1.7532141342424654e-09;7.475268970972557e-07;0.08747249378637317;;
1f1656838394188bd8dcdf7559af6fc7;GLO;SSP1-PkBudg500-2050;1f1656838394188bd8dcdf7559af6fc7;market for sugar beet pulp;sugar beet pulp;kilogram;0.10767331945636141;0.007327580673718807;0.000260702153191514;2.649507754485039e-09;6.045181052344797e-10;1.5657150957823925e-14;5.730462888056883e-10;5.119907984788066e-12;1.058709059629008e-12;1.869539382031509e-11;1.6375682467824618e-11;6.045638352362292e-13;1.5902314003058025e-09;4.8058400453770004e-11;8.948827000079661e-15;2.0001518395422983e-10;1.899981201680963e-07;2.257933015293128e-08;2.319366806873643e-08;4.213919710686266e-11;8.243563478903771e-10;2.727611891145722e-07;3.3064736744138577e-10;3.2891384390461876e-08;0.005050338084878005;0.0006608507809179036;2.8577320146995914e-09;5.426204906882438e-07;0.005711189065811093;;
36e9a5f8e6f110b1f50a2427e0c3373c;RoW;SSP1-PkBudg500-2050;36e9a5f8e6f110b1f50a2427e0c3373c;market for trimethylamine;trimethylamine;kilogram;1.0891511239824987;0.0022742130319572274;0.003960011582534591;2.270224063798004e-08;1.167680582378673e-09;2.1511527353336472e-13;7.87754598371462e-09;6.853149674014727e-11;1.4189824096594111e-11;2.2005801852815037e-10;2.1976128920998826e-10;3.0836802742308656e-12;5.703348476358566e-10;5.773388550812913e-10;2.190526277519392e-14;4.896044099977741e-10;2.609993574223168e-06;4.1879999805668245e-07;3.816406469712239e-07;3.6019567098139546e-10;1.5511898757541438e-10;1.1135000844499497e-06;3.5906859143308306e-09;8.051272173510171e-08;0.4508750732955138;0.0083722923539061;1.0718745978593888e-08;4.608547931906682e-06;0.4592473661390243;;
8a9180e2f3ba09cbbf928b887930a815;RoW;SSP1-PkBudg500-2050;8a9180e2f3ba09cbbf928b887930a815;market for butyl acrylate;butyl acrylate;kilogram;1.5765667150161686;0.0030547071088793125;0.00863190732360214;4.162961290687153e-08;3.63680312610667e-09;3.6013080857055657e-13;1.3186725668348143e-08;1.1628452637649945e-10;2.4055202668097504e-11;2.9627405550919504e-10;8.562085317009754e-10;1.7332050289808306e-13;1.2167863041870306e-09;1.3778213479462997e-09;6.149418628008725e-14;1.3744562254715433e-09;4.369327401037484e-06;7.760912072269155e-07;8.538950689648338e-07;6.6978462989107e-10;4.5109972506242726e-10;3.6525873037507285e-06;9.002833969599155e-09;2.2602168068496697e-07;0.6249305282912287;0.021979209070169505;2.071143061359665e-08;9.888005718721736e-06;0.6469097387358546;;
0975a85875b1b867dcccc05fea2f7751;GLO;SSP1-PkBudg500-2050;0975a85875b1b867dcccc05fea2f7751;market for solder, paste, Sn63Pb37, for electronics industry;solder, paste, Sn63Pb37, for electronics industry;kilogram;5.556228641298281;0.7450670844594226;0.018866177485429198;2.915250384056679e-07;1.0395807502090981e-08;5.418282781414253e-13;1.983517532824382e-08;5.5461425636912325e-09;1.0745801558770747e-09;1.8565533403474557e-09;1.0714709615760192e-08;7.231093790129744e-13;9.290759076091978e-09;5.4383291521913085e-09;6.234915136040451e-14;1.3935655453648182e-09;6.573415080990495e-06;5.980560733138113e-06;7.8262843140678e-05;4.639182391129192e-09;2.391575113624484e-09;4.49207201187449e-05;3.731796227201109e-08;2.2916410204330665e-07;0.49825171204816077;1.2640273505013448;6.415066532641213e-08;0.00013601015193078327;1.7622790639430708;;
5f8ef94f9fb062bf0ebeb46a255236a0;RoW;SSP1-PkBudg500-2050;5f8ef94f9fb062bf0ebeb46a255236a0;market for trichloromethane;trichloromethane;kilogram;0.9830636464713505;0.006863405010163573;0.001778933811861758;4.686777684837265e-08;3.3252062053715835e-10;2.358115751234858e-13;8.645266870085013e-09;6.298421707727026e-11;1.2744250376278002e-11;1.4638481714286973e-10;8.123844188273547e-11;4.82178303541375e-14;3.659032687003821e-10;1.5926476167369185e-10;1.211896202906885e-14;2.708708548681245e-10;2.8629406125276135e-06;1.1679244883536462e-06;1.0191171278420525e-06;7.265777388419168e-10;4.7536351587345956e-07;3.668830610414031e-07;1.0098754280416281e-09;4.4543205328247693e-08;0.12099026506141808;0.026359289752083813;9.80659943007926e-09;5.938507065997208e-06;0.14734955508437275;;
12a471f5d5d497210a37edb01fb90936;GLO;SSP1-PkBudg500-2050;12a471f5d5d497210a37edb01fb90936;market for hexane;hexane;kilogram;0.3804004351977082;0.0007097589398104657;0.003769207589376602;4.578532140702678e-09;5.043088192135851e-10;5.895754573032059e-14;2.160542847903644e-09;2.4303987145185927e-11;5.135973706224224e-12;6.740023464330245e-11;4.804105500812238e-11;1.0330919819832968e-13;2.464353261012247e-10;5.622510216224347e-10;5.02328301110103e-15;1.1227537145489409e-10;7.155097715151001e-07;1.6537738059931908e-07;1.4218271144763852e-07;6.983597724661747e-11;7.78682987750598e-11;5.226035679471554e-07;2.9769302027628098e-09;1.8463060289212194e-08;0.38477060593195817;0.0038278514719800737;3.618576995702457e-09;1.5672579740559792e-06;0.38859845751621364;;
55deb32257d77bd7b09eaae8890e7ee1;GLO;SSP1-PkBudg500-2050;55deb32257d77bd7b09eaae8890e7ee1;market for piperidine;piperidine;kilogram;3.6048830688729794;0.005166308650334267;0.01919972511743398;8.695322725390758e-08;3.85474283829374e-09;5.933876718888252e-13;2.1728829293956297e-08;2.3707475912835393e-10;4.709444819934979e-11;6.596866523603447e-10;6.083885468845486e-10;4.2506848559241574e-11;1.5911801345732045e-09;2.474020710737299e-09;6.195134305782846e-14;1.384674134142145e-09;7.199476660362461e-06;1.4138952786208584e-06;1.289271394367346e-06;1.3955553617709667e-09;3.414347276621051e-10;3.850188260195512e-06;1.4574655398558673e-08;2.2770195892738436e-07;1.3713990524515514;0.021856949442904422;3.124411612041985e-08;1.3996824401688172e-05;1.3932560032791297;;
e4c1035464dcd484321273848ce82d54;GLO;SSP1-PkBudg500-2050;e4c1035464dcd484321273848ce82d54;market for fish block, hake;fish block, hake;kilogram;1.7020257867239477;0.008457000746409291;0.02107910428107858;1.3489645900621732e-07;1.4101218968575592e-08;2.5523593669207937e-13;9.34281420990042e-09;1.7851174396090808e-10;4.591171451765268e-11;3.5208576719935385e-10;1.645130421040986e-10;9.800098055681767e-14;1.2872946640877904e-08;8.563693421773212e-09;8.021964764264653e-15;1.7929889112667625e-10;3.0963520012623837e-06;5.726585656717456e-07;7.783763808119187e-07;2.119176346440868e-09;1.385310814311118e-10;1.323652429940361e-05;5.99723959188133e-08;2.9484705272078756e-08;0.14075029238198167;0.010631292872106467;4.562204144548548e-08;1.77756208938976e-05;0.15138158543338703;;
