;activity type;database;location;name;reference product;unit;code;Coke;Incineration (kg);Vanadium;Holmium;Coal(brown);Palladium;Openburning (kg);Gadolinium;Petroleum;Titanium;Bauxite;Uranium;Cobalt;Copper;Fluorspar;Indium;Landfill (m3);Tungsten;Platinum;Radioactive (m3);Sand;Rhodium;Tin;Vegetable oil;Carbondioxide (kg);ecosystem quality;Phosphate rock;Helium;Tantalum;Nickel;Scandium;Cadmium;Graphite;Tellurium;Zirconium;Chromium;Silver;Europium;Hazardous (m3);human health;Lithium;Hazardous (kg);Beryllium;Dysprosium;Rare earth;Strontium;Cerium;Zinc;Coal(black);Hydrogen;Landfill (kg);Recycling (kg);Borates;Cement;Gallium;Erbium;Gold;Latex;natural resources;Lead;Natural gas;Magnesium;Antimony;Aluminium;Digestion (kg);Incineration (m3);Selenium;Digestion (m3);Composting (kg);Silicon
21d0989c13226374f700264a51796945;market activity;ecoinvent-3.9.1-cutoff;RoW;market for allyl chloride;allyl chloride;kilogram;21d0989c13226374f700264a51796945;0.14625027881221922;0.02404236580159025;0.0;0.0;0.09152464752264197;2.3427052047988434e-09;0.0008238110480005436;0.0;0.04840812688977091;0.00043602909035570246;0.005498351558900797;9.025342459606657e-06;1.0204719051318385e-07;0.00452811252863708;0.0008407324184735757;4.387324064747072e-10;8.046816040305635e-11;0.0;8.577274990279923e-06;5.7501791034623614e-08;0.04172756110561829;4.072188589505711e-12;5.310611253693922e-05;5.943301330187106e-06;0.0;1.0328947312394214e-08;0.0007906704005108717;7.507632981876649e-07;1.0028729414929477e-06;-0.01440040401492862;0.0;2.7938579617852845e-11;1.785253971063308e-06;3.4796846159229817e-13;3.4549802485010076e-15;6.439635760029995e-07;1.4913458393805745e-07;0.0;5.7501791034623614e-08;5.52814701776549e-06;6.6540205180011675e-06;0.020094666088231714;0.0;0.0;1.5476921030434627e-05;2.6022547606796126e-07;1.5690344175790392e-16;0.0008150061250213474;0.4001926680094224;0.00010621614867316631;0.29597279871047943;0.04322323035485144;8.520327507144424e-06;0.028006488936007035;6.257940223432833e-14;0.0;8.770228485976312e-08;4.349544865741887e-07;0.45133371428796437;8.326420358178791e-05;0.12993096664516704;7.702869989321911e-05;-7.1329613764750224e-09;0.005149915147473515;2.366410144470853e-06;7.242134885925967e-10;2.800474523071421e-14;0.0;3.5156384007721525e-06;1.876097668327437e-05
0810326f53d2c4315c4c1eee2ba0f8d0;market activity;ecoinvent-3.9.1-cutoff;RoW;market for ethyl benzene;ethyl benzene;kilogram;0810326f53d2c4315c4c1eee2ba0f8d0;0.08883517233834959;0.011255196411900543;0.0;0.0;0.028386422532124356;1.3274639084065196e-09;0.0007578680787514237;0.0;0.027501275108511147;0.00018638984719275445;0.0030062188745388517;2.8035308234173814e-06;5.617898369436477e-08;0.002463830934420484;0.00035222970280252583;2.206189304840975e-10;2.497115775658064e-11;0.0;4.856940727377804e-06;1.69676046013175e-08;0.024106760136761395;1.360622628365503e-12;3.207044951810316e-05;2.940534046383142e-06;0.0;1.0071720245941084e-08;0.00040990681526433166;4.218125362115143e-07;5.689385684461749e-07;-0.00822302158951401;0.0;8.77687012363184e-12;9.910894282226855e-07;1.751807610590324e-13;1.5513663876776575e-15;2.9706252718684424e-07;8.453755314098591e-08;0.0;1.69676046013175e-08;5.038120367771771e-06;5.7468048581177395e-09;0.008862607183121872;0.0;0.0;6.657891779653532e-06;1.2606674210087369e-07;6.518056298315238e-17;0.0004198388981613356;0.4169896372784055;5.897124987954192e-06;0.1533189162848681;0.023769150411132235;3.38650147643927e-06;0.01644432125745808;3.150488771270757e-14;0.0;4.975408476943471e-08;3.231264460514219e-07;0.621182762451347;4.326173534884964e-05;0.06695754777767836;4.4884651538580174e-05;-3.576172121396571e-09;0.002770020263528799;1.590340862083176e-06;2.2474043376294784e-10;1.4098670208017076e-14;0.0;2.360279493038638e-06;1.0347877003246716e-05
a0eabacaccf5fef59bc32f5879f51a0c;market activity;ecoinvent-3.9.1-cutoff;GLO;market for fennel;fennel;kilogram;a0eabacaccf5fef59bc32f5879f51a0c;0.10372069061174773;0.07327465128352414;0.0;0.0;0.02116732511328359;2.463673590314966e-10;0.00021794361438462766;0.0;0.05101764183027654;4.214930086218573e-05;0.0009966755459551435;8.171106169825151e-07;6.617579335776125e-08;0.0008487757948108503;5.7583209098129674e-05;3.6180788333966265e-09;7.264504449884175e-12;0.0;5.634917800950348e-06;4.944271831808494e-09;0.010179870221021294;6.817376089559806e-13;1.870488042815799e-05;1.07709688567519e-06;0.0;3.994506301266034e-09;0.0039242486038379406;7.855957613372913e-08;1.0739455633099397e-07;-0.0026921953833410226;0.0;1.52371165533682e-11;5.534832888068741e-07;2.6379511327022316e-12;2.795156519114599e-13;2.5834809774385545e-07;2.0406556004452597e-08;0.0;4.944271831808494e-09;1.2935603301404386e-06;4.771991124202222e-06;0.0012063178454013474;0.0;0.0;1.918895452936191e-06;1.0916101375575485e-07;1.695058638026622e-14;0.0003579783281387444;0.07563094935088618;7.879629265572936e-06;0.16743799900435502;0.008496450528841801;2.694789633694594e-06;0.00546412673934849;4.744148485539898e-13;0.0;9.22252475032997e-09;6.87120754011495e-07;0.03536137217779409;0.0002593333339903757;0.02057935875055554;1.978215818860207e-05;-3.0202789016308117e-09;0.0011263405136600737;0.05776464112095005;6.538054410831587e-11;2.1230415269345677e-13;0.0;0.0854964110061941;8.280329319866702e-06
5187ae6ad907a7a0b0bcfdca9e088cd1;market activity;ecoinvent-3.9.1-cutoff;GLO;market for fatty alcohol;fatty alcohol;kilogram;5187ae6ad907a7a0b0bcfdca9e088cd1;0.26532468365441675;0.026910446006001704;0.0;0.0;0.06113453380979357;2.5316896204861352e-09;0.013744871220711073;0.0;0.07818310042213594;0.00022925845906325755;0.007506391600028026;5.218375814985182e-06;1.5077182220448414e-07;0.005055479295959751;0.00039571814288132015;1.4701046189689345e-09;4.546626996812854e-11;0.0;1.1704467018502899e-05;3.107869565692241e-08;0.059674387710268104;4.9194506024282876e-12;8.445319354071355e-05;5.892070134688616e-05;0.0;3.169795158564077e-08;0.021928085008219876;8.000910058317507e-07;1.0860280085899585e-06;-0.01867849548827134;0.0;1.4211957357057818e-11;2.6082184429137377e-06;1.1352292721550062e-12;4.3880744154691746e-14;6.485288443608723e-07;1.652481449616915e-07;0.0;3.107869565692241e-08;7.983777346357898e-06;1.3976060255694542e-06;0.00480378661322761;0.0;0.0;8.717951085256209e-06;1.0014027609730049e-06;2.6038283815872404e-15;0.0023366185834708298;0.2762397191571084;0.0030243520333118525;0.3763212623441018;0.05893713108579427;4.942328775774642e-05;0.02969237928374428;2.04162092522078e-13;0.0;9.482128929095562e-08;7.61401301173179e-07;0.4025322152046527;0.0002177079550714763;0.21430473211421947;0.0002029250116076029;-3.014777681096677e-08;0.007040568845626633;3.854492856410719e-06;4.0919645511941554e-10;9.136404603932492e-14;0.0;5.727479794369721e-06;2.8321401546180355e-05
8848f572012d8739a43fbfbfb79f9a58;market activity;ecoinvent-3.9.1-cutoff;GLO;market for motor scooter, 50 cubic cm engine;motor scooter, 50 cubic cm engine;unit;8848f572012d8739a43fbfbfb79f9a58;537.2298439180089;14.035891206583205;0.0;0.0;15.197320697328891;2.0148759352691336e-05;3.921226664782158;0.0;20.679890064453353;0.2807627965205868;47.01314984681435;0.001540026950052709;9.039637670698037e-05;2.8012097623638628;0.06928828812938322;1.5229872274938038e-07;1.3458991816321416e-08;0.0;0.604567834276027;9.231425552188328e-06;9.45747904109118;1.2386303602203725e-09;0.1382789550049551;0.0012340762458300297;0.0;2.3707205138081865e-06;0.17798834036186906;2.4771880481322343e-05;3.138800745051536e-05;-11.475373012282162;0.0;3.8366452466781735e-09;0.01823570257111716;1.2064695740888508e-10;1.5993625718818177e-12;0.16317980761170459;5.365350643421419e-06;0.0;9.231425552188328e-06;0.002389846189122631;1.1727059050227434e-05;1.526236659079641;0.0;0.0;0.005286908154230429;0.00045391768229325957;6.423769900018605e-14;1.12573532486992;106.85397280225047;0.016000227377991016;96.51382000975337;9.418116749927664;0.0018756184254270618;10.948480982740833;2.1697410281063268e-11;0.0;2.7304763313151485e-06;0.0003382695103763531;46.76380290797509;1.3518897554320182;23.065921450998736;0.1213325655136204;-1.264830759093643e-05;49.99655164741634;0.002142566040516887;1.2113093386769065e-07;9.709751537929346e-12;0.0;0.0032879631173975328;0.17923093611713958
492d7343b3f92abd9a2ca1002fbc7e54;market activity;ecoinvent-3.9.1-cutoff;GLO;market for propane;propane;kilogram;492d7343b3f92abd9a2ca1002fbc7e54;0.30702415688113144;0.005016047542885468;0.0;0.0;0.026863670181811114;1.3396384700189343e-09;0.00037249050050035737;0.0;0.034223165112785746;0.00012259549035032087;0.0029689073842655046;3.169458536088954e-06;7.97450215509287e-08;0.0025197271260039202;0.00022794261975137906;1.8988115093200086e-10;2.817268067375777e-11;0.0;5.254141337994479e-06;1.9166491160288116e-08;0.13172701197720352;2.1640266521679743e-12;8.466911471381256e-05;3.6260821021227727e-06;0.0;4.9912012303926384e-09;0.00027793074948672156;4.247674666658617e-07;5.738501307712536e-07;-0.011516770146176135;0.0;7.59659119248943e-12;1.1771305817439666e-06;1.503164641955824e-13;1.92203762163451e-15;3.2340207620550243e-07;8.531672217504257e-08;0.0;1.9166491160288116e-08;2.5087582852869737e-06;2.8824295469537334e-08;0.0037271594104966543;0.0;0.0;6.197574144109999e-06;1.2540621736860703e-07;8.700323807034222e-17;0.00042957501758262315;0.12668678118261598;1.2756828590896245e-05;0.14899091051016744;0.024160178807781128;3.137501238567208e-06;0.021366267603163513;2.703323868000102e-14;0.0;5.018258811461858e-08;1.6773183953478233e-07;0.46839374683246576;7.281614027390332e-05;1.400224062111968;7.582068710865192e-05;-3.5331146316184365e-09;0.0026853205072362453;1.6915103596428555e-06;2.535541418065324e-10;1.209757420116789e-14;0.0;2.512418533243479e-06;1.0447564930655261e-05
dd76a95b5234654590269bde045c4c56;market activity;ecoinvent-3.9.1-cutoff;RoW;market for o-chlorotoluene;o-chlorotoluene;kilogram;dd76a95b5234654590269bde045c4c56;0.16572301916188992;0.010598305369729239;0.0;0.0;0.10767136888109463;2.5584198610801235e-09;0.0008681675393281836;0.0;0.07913942364414585;8.981412606821379e-05;0.005849541985986908;1.1304923839322856e-05;1.2274452479592817e-07;0.0049174401335282435;0.000120813159947715;5.74740849238634e-10;1.0025233900099877e-10;0.0;1.1875672847936801e-05;7.10305743809272e-08;0.04711994632477377;6.4091095335105245e-12;6.058669690745369e-05;5.5705694952050265e-06;0.0;1.1887050847255937e-08;0.0002180800463153422;8.197215954916724e-07;1.094386015007578e-06;-0.015855534567917568;0.0;3.1674069495401256e-11;1.975491203352982e-06;4.558862256844141e-13;4.284379350964087e-15;7.291593225816164e-07;1.627749582053282e-07;0.0;7.10305743809272e-08;6.2447953072110585e-06;3.763575682493796e-06;0.00634034183892767;0.0;0.0;3.353995289945565e-06;2.491068143347684e-07;2.0240540285096287e-16;0.0008138538492315594;0.37544779925368577;0.00010225441328879327;0.3576621856111604;0.0471024304054234;9.764797370850798e-06;0.03060042681489252;8.198756680316969e-14;0.0;9.570345429214371e-08;3.8369840685799563e-07;0.540742032340284;9.857866871369262e-05;0.14866253332175533;8.724308063573023e-05;-6.763382955326877e-09;0.0051677436861869265;2.4182588249143648e-06;9.022711070293502e-10;3.6690042385055356e-14;0.0;3.5923441854781577e-06;2.103552714027183e-05
4aa51a278e08ad4760d62c0bf55d903a;market activity;ecoinvent-3.9.1-cutoff;GLO;market for polyethylene, low density, granulate;polyethylene, low density, granulate;kilogram;4aa51a278e08ad4760d62c0bf55d903a;0.10713181620035557;0.02182171362776541;0.0;0.0;0.07378096998963046;1.3905240771422823e-09;0.0011344538578282048;0.0;0.040874378935165066;0.0005011523844402892;0.0035279927899282103;9.10073171934442e-06;9.705986083095624e-08;0.0027080498617562386;0.0009887224426419964;7.500432874447447e-10;7.958810580505407e-11;0.0;6.3819593668707205e-06;5.427057204335335e-08;0.030238431765803757;7.220908558539515e-12;3.533833555613267e-05;3.6196181851493516e-06;0.0;1.0325233248040702e-08;0.0008825677671564221;4.4514144311742076e-07;5.932124966427763e-07;-0.009059351323111175;0.0;2.0588879236170352e-11;1.1243988877867416e-06;5.961107089329407e-13;3.566852536128789e-15;4.196707767591183e-07;8.858682538799767e-08;0.0;5.427057204335335e-08;4.989712209381134e-06;1.7266179762598342e-08;0.017686676568684764;0.0;0.0;1.7646495549423036e-05;1.601235970642494e-07;1.847829358491161e-16;0.0005072837739004621;0.27586579926445876;1.3243793797993505e-05;0.23277544928593968;0.031205608930398795;6.764794011179958e-06;0.01904498180099564;1.0720584175876588e-13;0.0;5.1857678263904566e-08;3.3269385881882327e-07;0.6589202011137444;7.444041717376702e-05;0.0805988334730767;5.1165160063592814e-05;-4.567535521848976e-09;0.003499767275528267;1.8224787454197243e-06;7.162929967188073e-10;4.797540689916582e-14;0.0;2.705962961862888e-06;1.2061786954648446e-05
dd91084138e270cdb3c7fa5c470cddf5;market activity;ecoinvent-3.9.1-cutoff;RoW;market for polyester resin, unsaturated;polyester resin, unsaturated;kilogram;dd91084138e270cdb3c7fa5c470cddf5;0.1687475744030422;0.008195870235830249;0.0;0.0;0.06681960568915307;2.156384910492111e-09;0.0006344944245284383;0.0;0.07424038964276244;0.00015336923627608595;0.0048460383906144995;7.621545337526982e-06;1.7681327958232166e-06;0.0040829045057951905;0.00026476745375117786;5.307103878590239e-10;6.700996069085946e-11;0.0;9.898448970662855e-06;4.66247233221826e-08;0.04270751159038194;5.538134099223668e-12;5.2719567904870565e-05;7.682823843957074e-06;0.0;2.5246929361282218e-08;0.0003382013232726718;6.861507027463296e-07;9.22803551193439e-07;-0.013345251536773496;0.0;1.8598172010490622e-11;1.6398667851906411e-06;4.2115540315465685e-13;3.647375246648187e-15;5.100018734317383e-07;1.374290124190366e-07;0.0;4.66247233221826e-08;1.0301312339785866e-05;9.061012092342287e-07;0.004482269916097122;0.0;0.0;5.743285278096549e-06;2.230555634400946e-07;1.7376737992752712e-16;0.0007320095946299509;0.3056632246687098;0.0029818285816829012;0.3338691175007877;0.03695601711008568;6.379702731162906e-06;0.023392491533268327;7.574150041234463e-14;0.0;8.067912978215674e-08;3.2894991599205166e-07;0.7042198307436576;0.00011422795336106653;0.15400257091139144;7.560884277651996e-05;-6.2159933751810376e-09;0.004360448621152452;2.450455467922252e-06;6.030896836624694e-10;3.389488148987431e-14;0.0;3.6424718189387957e-06;1.741448519922594e-05
9ca027839259f93d0fb65bb454778c70;market activity;ecoinvent-3.9.1-cutoff;GLO;market for cathode, LiMn2O4, for Li-ion battery;cathode, LiMn2O4, for Li-ion battery;kilogram;9ca027839259f93d0fb65bb454778c70;0.7195720347272058;0.12129777482538237;0.0;0.0;0.41160085770981714;4.202000828044168e-09;0.0023622830473962668;0.0;0.4340887977302497;0.0003148349401623634;1.5324910748385736;3.537355811813781e-05;2.8805983064625153e-07;0.017018833067570842;0.0008250860240696488;1.5680592463742354e-09;3.088148618339838e-10;0.0;2.5490633534791937e-05;2.1146661165998093e-07;0.16499540939357255;2.31485524142976e-11;0.00017866807448032793;2.0900810976407983e-05;0.0;4.524731322208572e-08;0.00129625018826721;1.3526942707623588e-06;1.7926412419514945e-06;-0.03631007461160495;0.0;7.43591895609515e-11;0.0004897731227280876;1.2346992952501298e-12;2.212089270898157e-14;1.7499978249644562e-06;2.692265692374786e-07;0.0;2.1146661165998093e-07;2.8087311685817168e-05;0.9478019726758989;0.016039515432894787;0.0;0.0;2.3511205896167187e-05;1.5206192708940387e-06;1.1666611201532614e-15;0.004347886268884111;2.2369632984619745;0.0009323003436197917;3.701494811586283;0.11606812283707946;4.239563750878303e-05;0.06863195027378344;2.2205099704245663e-13;0.0;1.5657170424145221e-07;0.009895518154467393;1.3676815196882472;0.0008335249720245894;0.7497681946894899;0.0002588283615420058;-4.199300418216944e-08;1.3883989799977186;1.2133399826108747e-05;2.7793339290696093e-09;9.936946308811845e-14;0.0;1.7987149525785646e-05;0.004899672755323374
