location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;emptied;parameters full;log parameters;activity type
GLO;SSP1-PkBudg500-2020;c5f4f6f732ea64b4b69918a520f6f026;market for styrene;styrene;kilogram;0.6920979324002666;0.0006842386426018;0.0098042025160994;1.5366782234171673e-08;2.044226821055588e-09;2.6167581847188133e-13;9.58406972980536e-09;4.1020803873845634e-11;8.825296878963129e-12;1.5176871062710638e-10;3.7822374900956146e-10;7.823436027817074e-14;2.122235891449865e-10;8.993079985259191e-10;1.941062154806809e-14;4.338466974015938e-10;3.1750804259431974e-06;3.4914671704587226e-07;3.278737133935748e-07;2.3774145358454003e-10;1.3175705565379183e-10;2.376561632312648e-06;5.805394420647894e-09;7.134367605828187e-08;0.7149918940398512;0.0035087203053485;1.3320005662960604e-08;6.306174401093233e-06;0.7185006147790464;;;;
GLO;SSP1-PkBudg500-2020;e9fb183d858ec05ae6951d025f16351d;market for port facilities;port facilities;unit;24334437586.42817;48215293.6341218;42969157.910590366;11241.269227030289;58.27898816161279;0.0108256100178833;396.37632989445086;2.1068107501703723;0.4251205739272677;1.84699234673012;36.3652120261499;0.0067183057443819;26.953311256135507;22.10012911503978;0.0004325348840507;9.66758485768693;131340.4216882318;17727.442669666867;20643.93162884308;174.27513664752655;13.601752218521897;66827.58099164646;152.75438707108572;1589.7805526322147;4962804789.555516;97467955.80227196;544.4707709190236;238469.7602294824;5060272755.025373;;;;
GLO;SSP1-PkBudg500-2020;b317eba5a2eb73cf5f458f3780d4c035;market for lime mortar;lime mortar;kilogram;0.2491942875292405;0.0002034874739405;0.0004234328920025;3.9908129220484975e-09;2.535858427794885e-10;5.989105988445636e-14;2.192433480419065e-09;7.940252241664285e-12;1.8222078304072826e-12;4.3924963098002457e-11;4.615488948658925e-11;1.927011863250709e-14;1.2714759461062128e-10;1.5543335759065128e-10;9.938395261231457e-16;2.2213301881546712e-11;7.265765312745637e-07;5.172682838267648e-08;8.137239957918035e-08;6.251771259308372e-11;2.9671230774119237e-11;2.8555188250743214e-07;1.063291762116673e-09;3.6528539300022075e-09;0.0255497460145226;0.0014614408878409;2.828520972404916e-09;1.150035414484104e-06;0.0270111869245769;;;;
GLO;SSP1-PkBudg500-2020;652a734385505cb52ca9fa781e3de3ac;market for 1-methoxy-2-propanol;1-methoxy-2-propanol;kilogram;2.008417547267824;0.015867452481352;0.0071987592148423;1.6019746403294726e-07;2.18645563930419e-09;3.098077201192554e-13;1.1344944357129168e-08;1.6047300186278506e-10;3.23019983315891e-11;3.1330272870305075e-10;8.070894670662531e-10;2.1322408658321255e-13;4.6086331184671624e-10;9.90140480330186e-10;4.397405972324945e-14;9.828639714100772e-10;3.758881171788386e-06;8.479783088171083e-07;1.002443792909642e-06;2.3909795214952955e-09;1.073995121401112e-09;2.353945547950169e-06;6.407409210337127e-09;1.6162651278806145e-07;0.5361923566087444;0.0639166101752557;1.629612903898078e-08;8.134744868526678e-06;0.6001089677668641;;;;
RoW;SSP1-PkBudg500-2020;b4e78bd248981d0ec9d66be0cc477743;market for nylon 6, glass-filled;nylon 6, glass-filled;kilogram;0.5924282457815853;0.000186144802212;0.0790622561282388;1.1787248172881051e-09;4.866179515165078e-09;5.99222088671012e-13;2.1943311468191946e-08;2.7281841413714892e-11;5.955256390050106e-12;7.146558487742189e-11;1.508351434878373e-10;1.4239718700141118e-12;4.274203183902829e-11;2.272403310318048e-09;6.854098590190487e-14;1.531959205765373e-09;7.272016075216486e-06;6.74745501661201e-07;1.6347578564837893e-07;1.7922048826060827e-11;2.0915980769822592e-08;4.934346323112903e-06;1.5418977179829247e-08;2.519221696632096e-07;0.7550129994456265;0.0008182975628682;2.9382265045640696e-08;1.3332858533122213e-05;0.7558312985404538;;;;
GLO;SSP1-PkBudg500-2020;27d3fab7aa9ceb09635fe59f5d0984b1;market for rolling mill;rolling mill;unit;994873.895292594;1847.3968231183492;209.17293309549416;0.0021690983002051;0.0001432615243119;1.290045365758547e-08;0.0004723433518384;1.760038771035241e-05;3.6074505061182255e-06;3.0275888903895207e-05;5.099332178939567e-05;1.4291180950874874e-08;0.0001477595505089;5.479450477902428e-05;6.708816795689832e-10;1.4994872797218927e-05;0.1565133600616162;0.6127284478808251;0.08474366371637;3.342231494652789e-05;1.3330884893190564e-05;0.1893886447387801;0.0003624397913508;0.0024658234205472;7572.734545463811;9098.997656932532;0.0009206627769623;1.0462487841179644;16671.732217391218;;;;
GLO;SSP1-PkBudg500-2020;555483f89274428fecc646c962e26084;market for vinyl acetate;vinyl acetate;kilogram;1.1575551098501218;0.0014721585983933;0.0056447411071332;8.966042053303477e-08;1.3328371707292612e-09;2.1530179525874922e-13;7.885736463329468e-09;7.152285207798622e-11;1.4734975556842705e-11;1.8866633237291182e-10;4.288141764552721e-10;1.0993985639457672e-13;2.840485764683175e-10;7.620291681552882e-10;3.644390611806044e-14;8.145575488440718e-10;2.6124205111397585e-06;4.592741542305858e-07;4.797894370374695e-07;1.3920845322554067e-09;2.2323582098117862e-10;1.4597584676729778e-06;4.7656116751346495e-09;1.3394945782373046e-07;0.4904955416260203;0.0061086568356731;1.0968742367482444e-08;5.151570041660294e-06;0.496604199276251;;;;
GLO;SSP1-PkBudg500-2020;f56017eb3db44f44f9f886100110daae;market for plug, inlet and outlet, for computer cable;plug, inlet and outlet, for computer cable;unit;1.3688824631336605;0.0094755879860534;0.002642984274314;1.3191149559535837e-08;1.3025652923728115e-09;2.987538296764425e-14;1.0938842553990083e-09;3.454097616715069e-10;6.752421200982258e-11;5.324237206602772e-10;4.3751048891037176e-10;3.8946464671254915e-14;3.366021457917103e-10;1.8140786306220278e-10;2.7897634783030896e-15;6.235398843855371e-11;3.624678460485317e-07;3.259156746568676e-07;1.7562239075693963e-06;2.0078944918274614e-10;1.0582544553542712e-10;1.2036654604330008e-06;1.2339673326522448e-09;1.0253766546444804e-08;0.0363088611322919;0.0082788545443425;4.297396713979242e-09;3.6600663796421264e-06;0.0445877157389884;;;;
GLO;SSP1-PkBudg500-2020;74fe70d3c35f0929de787157aff7cc01;market for natural gas, liquefied;natural gas, liquefied;cubic meter;0.0638636771907823;0.0003318220008211;0.0026189920019315;1.8956214054858355e-09;3.520870595282326e-10;5.2078103057042183e-14;1.908435682074962e-09;3.1333676682051986e-12;7.336138358543799e-13;7.208651315576427e-12;2.092890678821917e-11;6.995189781169629e-15;1.4608311910165352e-11;3.4543935015659645e-10;5.360780693589014e-16;1.198187803336622e-11;6.320199701571139e-07;1.4764047229170325e-07;1.7917541559505527e-08;2.953248577258358e-11;8.619659229378239e-11;3.596936674072585e-07;2.133522040635331e-09;1.9703531918119936e-09;0.357473361349032;0.0035222337421918;2.652631860016269e-09;1.1614903746670925e-06;0.3609955951032058;;;;
RoW;SSP1-PkBudg500-2020;087d2f214dbd5a86d7be12d8a921ef94;market for laterite, mineral;laterite, mineral;kilogram;0.0284078894060632;2.179885524217996e-05;7.556598875215753e-05;9.026522027990185e-10;2.8501914536713182e-11;2.1183582693001146e-15;7.755980806380872e-11;5.133974614188474e-13;1.2822880549802425e-13;5.180042375957625e-12;4.06959022058978e-12;1.3287304732139449e-15;7.840110275158173e-11;2.4318332575753388e-11;3.3159097230772024e-16;7.411388031425813e-12;2.5700954705727756e-08;5.136566529000987e-09;4.622431516315013e-09;1.397248541893976e-11;8.46219892313431e-12;3.614852852072614e-08;1.667606688650273e-10;1.2187615349456563e-09;0.002436185944894;7.658482944068563e-05;2.1867616305603503e-10;7.301642775733618e-08;0.0025127707817461;;;;
GLO;SSP1-PkBudg500-2020;b182d7385374ed36d16aaf78c177e2ab;market for bitumen seal, V60;bitumen seal, V60;kilogram;0.4644357456003412;0.0007032056692332;0.0040184247859703;2.8478192696672215e-08;6.194305706695236e-10;7.347176690564184e-14;2.691890429179935e-09;3.2053623614644186e-11;6.657523296434392e-12;6.550927950829354e-11;1.3319866131423184e-10;1.1372259227382017e-13;1.1777085962188336e-10;3.869354319080842e-10;1.938184402241464e-15;4.332034910811153e-11;8.91594748859939e-07;2.035645614996019e-07;2.146050454603327e-07;4.40002078496352e-10;1.2937898615391613e-10;6.486275792065003e-07;2.256692982950689e-09;7.123790435679904e-09;0.3689820191768727;0.0033009332488774;4.053633580392933e-09;1.9683411810637283e-06;0.3722829524690706;;;;
GLO;SSP1-PkBudg500-2020;ee77b41155bd6bd11716c5d748563cd0;market for nuclear power plant, boiling water reactor 1000MW;nuclear power plant, boiling water reactor 1000MW;unit;1807791926.6617005;1330898.453132128;593812.8411344375;27.96377109438092;0.504713176997871;5.518331377289196e-05;2.020479814628985;0.0550507541292783;0.0111090196565637;0.1208502175549458;0.1923203407564683;3.497817998222959e-05;0.2943515986946271;0.1888363761262248;2.7068176382483347e-06;0.0605000664154056;669.5016352175664;1004.1104539647972;298.75632755708114;0.4335875253538765;0.0688305999907571;702.231190911187;1.2803180709417792;9.948899382423596;30170222.04765688;12458502.031500535;3.387797752443303;2686.329137465165;42628724.13965748;;;;
RoW;SSP1-PkBudg500-2020;e6e9eb98caf911bfee4066e01e101afb;market for biomethane, low pressure, vehicle grade;biomethane, low pressure, vehicle grade;kilogram;0.3109232557532355;0.000504832489242;0.0012214231702686;4.41365682041879e-08;5.422597982826164e-10;2.1914750455763563e-13;8.022648125870197e-09;2.4756593774308997e-11;4.904573774847297e-12;2.884955457509129e-11;1.981088891985651e-10;4.289410730566168e-14;5.58272610855245e-10;1.6630864027471744e-10;2.6498303807507915e-15;5.922634453081485e-11;2.65924802517288e-06;1.6396242885546054e-07;1.6837571950374745e-07;6.897196254528683e-10;1.4907396889823524e-10;5.728812506939627e-07;1.1245695068825402e-09;9.739442903748433e-09;0.0553390205843422;0.0017077052945416;9.546357791690312e-09;3.576165116930239e-06;0.0570467259381101;;;;
RoW;SSP1-PkBudg500-2020;54f1c7cbc3547d041b94a049be49e07f;market for paper, woodfree, uncoated;paper, woodfree, uncoated;kilogram;0.7846539848170442;0.0017503393594014;0.0024211980356717;2.131141877743164e-08;8.547250928097995e-10;2.149184733059743e-13;7.867465108811113e-09;3.203675569398304e-11;6.731029734672752e-12;1.3653014114633731e-10;2.3746045933845916e-10;5.073543951462174e-13;1.1565941023016226e-08;4.927685303864075e-10;2.4195746208831954e-14;5.407989928541808e-10;2.6073596641805726e-06;1.9915126433748144e-07;4.041924509102778e-07;3.3196364957998926e-10;5.528645602505664e-10;1.3140905925914687e-06;3.3643379986021683e-09;8.893138610922617e-08;0.0778118487392646;0.3154868154882432;2.1194273611882832e-08;4.617931197549327e-06;0.3932986647683069;;;;
GLO;SSP1-PkBudg500-2020;2dc320a6b483c0f5868d3dc222dd2de6;market for benzoic-compound;benzoic-compound;kilogram;5.53800623596379;0.0239188039346381;0.0132927087318493;3.1226917866683295e-07;2.0717071108573e-08;8.380872732571378e-13;3.0688278976446683e-08;4.997860917298662e-10;7.793675854748715e-11;8.130196765403514e-10;2.048478702835628e-09;5.302164366323889e-12;1.2572979685197155e-09;3.654810638037201e-09;1.4059681075954298e-13;3.1424785580498637e-09;1.016867932857267e-05;1.992392411913405e-06;2.5348587911209e-06;4.7395244155571915e-09;2.482018234810284e-08;1.9076300878119872e-05;2.4765609812729343e-08;5.167631184203234e-07;0.9730650673824272;0.2453548713191774;5.976284062105802e-08;3.43432802805986e-05;1.2184199418440833;;;;
RoW;SSP1-PkBudg500-2020;d06742a428c788f89d9163d9c6ec8316;market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;1.9648480491174851;0.0020070449303584;0.0032907732329642;4.045908263397802e-08;3.007777850445924e-09;2.3611803793622073e-13;8.643798158223964e-09;1.6087461938200418e-10;3.284117946904683e-11;4.174262064955514e-10;7.212673295023185e-10;3.4448579532192576e-13;1.211792873944443e-09;8.781973738916167e-10;2.425224807534244e-14;5.42061865767441e-10;2.8651047119826435e-06;6.382904727664374e-07;1.045657938350585e-06;6.317372486513806e-10;7.683072924309497e-09;2.9317459672413144e-06;5.977725196492161e-09;8.913905853491483e-08;0.207635826189418;0.0274282788114364;1.5074251681289812e-08;7.584121774778492e-06;0.2350641055429163;;;;
GLO;SSP1-PkBudg500-2020;2771305be48bbf3bcbe8ca566c7ea069;market for ethoxylated alcohol (AE11);ethoxylated alcohol (AE11);kilogram;1.1191905069688663;0.0046787817201693;0.0055084352969009;3.8913899802103326e-08;1.5900056759794539e-09;3.086385869010869e-13;1.1302245361001276e-08;6.872154056204704e-11;1.390078022189982e-11;1.6728469858503344e-10;3.046083678105212e-10;2.2765738167949706e-12;5.125312069183996e-09;7.635578341259318e-10;2.0202678256451952e-14;4.515499526134971e-10;3.744840138079579e-06;3.671822832047582e-07;4.165949970814902e-07;6.051713405848913e-10;1.703490770784026e-09;1.7236506982037946e-06;4.6923846934944306e-09;7.425487790118996e-08;0.3814683954584339;0.0050689133331021;1.9313940984250224e-08;6.3254704064937646e-06;0.386537309243086;;;;
RoW;SSP1-PkBudg500-2020;69fb079c1ab8998b9004b714b3ea9d9b;market for diammonium phosphate;diammonium phosphate;kilogram;1.7439364238259634;0.0017712445868045;0.0023672288052748;2.204312536774656e-08;3.086821619452262e-09;1.3373183004259908e-13;4.896145751398305e-09;2.2937022633813388e-10;4.635163853862308e-11;5.115191745386656e-10;4.6134542261217365e-10;1.0557063750145806e-13;2.79879121200728e-09;5.247253025192095e-10;4.32600831431688e-14;9.66905884724239e-10;1.622445077575598e-06;4.666470072862586e-07;1.4400925132549644e-06;3.674459809037872e-10;1.7738182169932467e-10;3.000760572235876e-06;3.556164089559362e-09;1.5900229420153488e-07;0.1336344617058807;0.0177581561161521;1.2555176151347528e-08;6.692989929884548e-06;0.1513926187889387;;;;
