Name;Waste - Circularity %;Category
market for vanilla;14.5829306285821;AgriForeAnim
market for coffee, green bean;14.0123938344483;AgriForeAnim
market for tomato, processing grade;13.7624549369061;AgriForeAnim
market for helium, crude stockpiling;9.65106341912296;Chemical
market for stone meal;4.03720840465039;Chemical
market for charcoal;3.46927913009781;Chemical
market for glass tube, borosilicate;6.25845611774691;GlasNonMetal
market for calcined clay;3.53131345776469;GlasNonMetal
market for solar collector glass tube, with silver mirror;3.09387869751965;GlasNonMetal
market for electron gun, for cathode ray tube display;4.26191700420581;MachElecTrans
market for electric connector, wire clamp;3.30851100690326;MachElecTrans
market for switch, toggle type;2.94506654533588;MachElecTrans
market for molybdenum trioxide;2.25251489374865;MetalAlloy
market for ferronickel;2.17749348535187;MetalAlloy
market for ferroniobium, 66% Nb;1.56583058446413;MetalAlloy
market for steatite;6.01076365018628;OreMinFuel
market for tungsten concentrate;5.00753379575915;OreMinFuel
market for clay;4.32591448078241;OreMinFuel
market for phenolic resin;2.17445315516483;PlastRub
market for melamine formaldehyde resin;2.04270571360975;PlastRub
market for dicyclopentadiene based unsaturated polyester resin;1.97289782730093;PlastRub
market for cottonseed oil, crude;16.1585414216044;ProcBio
market for cottonseed meal;15.9914678378167;ProcBio
market for reeled raw silk hank;7.94502620699127;ProcBio
