Name;Human Health;Category
market for weaned calves, live weight;0.7084567842875;AgriForeAnim
market for weaned heifers, live weight;0.520816462034;AgriForeAnim
market for cattle for slaughtering, live weight;0.4586338058015;AgriForeAnim
market for lutetium oxide;17.864001484006;Chemical
market for scandium oxide;11.6536923863891;Chemical
market for thulium oxide;4.7729977859762;Chemical
market for synthetic graphite, battery grade;0.0239777479973073;GlasNonMetal
market for solar collector glass tube, with silver mirror;0.0220502495383052;GlasNonMetal
market for panel glass, for cathode ray tube display;0.0189085544495592;GlasNonMetal
market for integrated circuit, logic type;8.2334569326813;MachElecTrans
market for electronic component, active, unspecified;5.6853753579474;MachElecTrans
market for integrated circuit, memory type;3.3118509533523;MachElecTrans
market for platinum;1087.66871485078;MetalAlloy
market for metal catalyst for catalytic converter;655.192588837931;MetalAlloy
market for gold;509.345488767056;MetalAlloy
market for uranium, enriched 4.2%, in fuel element for light water reactor;20.3751917945947;OreMinFuel
market for enriched uranium, 4.2%;20.3746066437869;OreMinFuel
market for uranium, enriched 4%, in fuel element for light water reactor;19.2986299806508;OreMinFuel
market for tetrafluoroethylene film, on glass;0.161284149949;PlastRub
market for tetrafluoroethylene;0.1528039119736;PlastRub
market for polyvinylfluoride, film;0.0469586656840513;PlastRub
market for reeled raw silk hank;0.6348784339739;ProcBio
market for red meat, live weight;0.4234218030052;ProcBio
market for yarn, silk;0.1634728425759;ProcBio
